% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.355008294e+03 +2.355008294e+03 +1.892918294e+03 +1.892918294e+03 -3.7337e+00 +2.8415e+00 -2.5940e+00 +3.5057e+00 -1.7117e+00 +3.8940e+00 -2.5425e+00 +3.8029e+00 -1.5390e+00 -1.8090e+00 -3.3570e+00 -3.6452e+00 -1.7806e+00 +3.9523e+00 +6.3060e-01 -6.3418e-02 +1.3352e+00 +1.6062e+00 +3.6102e+00 -3.9240e+00
4 +1.394590902e+03 +1.394590902e+03 +9.325009022e+02 +9.325009022e+02 -3.3163e-01 +8.8961e-01 +5.7213e-01 -2.9938e+00 +1.2383e+00 +2.8469e+00 +3.6548e+00 -3.4198e+00 +1.0106e+00 -3.2687e+00 -1.5064e+00 +1.8332e-01 -3.4456e+00 +1.7666e+00 +9.6586e-01 -3.4688e+00 -7.8173e-01 +3.0827e+00 -3.2613e+00 -2.1106e+00
26 +9.830107374e+02 +9.830107374e+02 +5.209207374e+02 +5.209207374e+02 +1.2206e+00 -2.7653e+00 +2.3647e-01 -1.0667e+00 -1.9821e+00 +8.9436e-02 -2.0367e+00 -2.1817e+00 -2.4349e+00 +1.5903e-01 -2.3099e+00 +1.3616e+00 -3.7418e+00 -3.2062e-01 +2.1393e-01 -3.2158e+00 -1.5521e+00 -8.4213e-01 -1.6518e+00 +8.4280e-01
213 +6.023220724e+02 +6.023220724e+02 +1.402320724e+02 +1.402320724e+02 -3.7015e-01 +6.0245e-01 -6.8942e-01 -1.9756e+00 +1.5730e+00 +1.8652e+00 -1.1989e+00 +2.1818e+00 -1.7569e+00 +1.5870e+00 -1.0204e+00 +9.2999e-02 -1.9192e-01 +1.3165e+00 -1.5675e+00 -2.7459e+00 -9.1821e-01 +2.7186e+00 +2.0390e+00 +1.1883e+00
4148 +3.895615763e+02 +3.895615763e+02 -7.252842372e+01 -7.252842372e+01 -6.2270e-01 +3.2429e+00 -4.8380e-01 -6.7526e-02 +2.3191e+00 +3.1258e+00 -9.5621e-01 +1.9280e+00 -1.9303e+00 +5.5863e-01 -1.0123e+00 +2.8998e-01 -3.4236e-01 +7.2458e-01 -1.6306e+00 -3.0658e+00 -1.0863e+00 +2.9441e+00 +2.3747e+00 +1.4664e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.639520582e+03 +4.639520582e+03 +4.717180582e+03 +4.717180582e+03 +2.7912e+00 -3.9979e-02 +9.3409e-01 +3.3977e+00 +2.3953e+00 +1.2201e+00 +3.8361e+00 -2.4611e+00 +2.4244e+00 +1.0394e+00 +2.2657e+00 +2.1056e+00 -2.3244e+00 +2.8635e+00 +3.5752e+00 -3.1589e+00 -9.1634e-01 -2.2284e+00 -7.5147e-01 -3.3729e-01
2 +2.776472110e+03 +2.776472110e+03 +2.854132110e+03 +2.854132110e+03 +2.1719e+00 +6.1775e-02 +2.5523e+00 +3.2902e+00 -3.3504e+00 +2.1827e+00 +3.2016e+00 -3.2720e+00 -6.5735e-01 +1.4532e+00 +1.6200e+00 -2.6865e+00 -2.1460e+00 -1.1918e+00 +5.5243e-01 -2.0505e+00 -3.7510e+00 +7.0836e-01 -2.4863e+00 -9.0934e-01
6 +1.424380276e+03 +1.424380276e+03 +1.502040276e+03 +1.502040276e+03 +3.4493e+00 +2.1862e+00 -5.8014e-02 +2.3125e+00 +1.5371e+00 -9.3297e-01 -2.0398e+00 +2.9491e+00 +1.0167e+00 +3.6634e+00 -3.0995e+00 -2.1257e+00 -1.9313e+00 -1.2116e+00 -2.4908e+00 +3.0801e+00 -3.0662e+00 -1.2164e-02 +1.7706e+00 +1.5130e+00
14 +5.743775502e+02 +5.743775502e+02 +6.520375502e+02 +6.520375502e+02 -1.4040e+00 +1.1458e+00 -4.6095e-01 +3.0518e+00 -7.1520e-01 -4.1381e-01 -1.9584e+00 +7.9613e-01 -3.0094e+00 -1.3441e+00 -3.2402e+00 +3.9254e+00 +4.7797e-01 -3.3644e-01 +1.5505e-01 +2.5649e+00 -4.8994e-01 -2.7747e+00 -4.2940e-01 -2.4930e+00
