% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.788031070e+09 +4.788031070e+09 +4.788030448e+09 +4.788030448e+09 +3.8311e-01 -7.7237e-01 -3.3979e+00 -2.5408e+00 -4.2115e+00 -1.7185e+00 -4.3021e+00 -4.1783e+00 +3.5075e+00 +1.0575e+00 -1.1198e+00 -7.6836e-01 -4.1576e+00 -1.4897e-01 -1.2958e+00 -1.4222e+00 +5.0092e-01 -1.0188e+00 -2.8522e+00 -8.9453e-01
2 +3.169252596e+09 +3.169252596e+09 +3.169251975e+09 +3.169251975e+09 +3.1985e+00 +2.4711e+00 +4.5318e+00 -3.3548e+00 -4.1408e+00 +4.2140e+00 -1.1324e+00 -4.1710e+00 +3.3465e+00 -2.6257e+00 +3.0843e+00 +3.1451e+00 -2.3132e+00 -4.6186e+00 -2.3371e+00 +4.9654e+00 -9.0158e-01 -3.1364e+00 -1.8298e+00 +1.4673e+00
3 +4.838466284e+08 +4.838466284e+08 +4.838460072e+08 +4.838460072e+08 -2.8034e+00 +2.0902e+00 -4.0688e+00 -3.7437e+00 +5.2639e-01 +2.1643e+00 -4.6627e+00 +3.6635e+00 +4.7509e+00 -1.4530e+00 +3.2239e+00 -2.0772e+00 +4.8857e-01 -4.5269e-01 +2.0038e+00 +3.2365e+00 +2.9259e+00 +3.8559e+00 -2.8980e+00 +3.8100e+00
57 +3.477267923e+08 +3.477267923e+08 +3.477261712e+08 +3.477261712e+08 +3.1196e+00 -1.9176e+00 +9.9482e-01 -3.6032e+00 +4.1604e+00 -2.1887e-01 +2.0494e-01 +4.4367e-01 -1.9555e+00 +7.3062e-01 +1.6134e+00 -1.0698e+00 +2.9791e+00 +3.0703e+00 +3.8008e+00 +1.2403e+00 +3.9138e+00 -6.2508e-01 +2.0000e+00 -3.5280e+00
198 +2.384034862e+08 +2.384034862e+08 +2.384028651e+08 +2.384028651e+08 -5.1685e-01 +2.1620e+00 +2.0270e+00 -2.8344e+00 +2.6364e+00 +2.4055e+00 -7.5063e-01 +3.8483e+00 +4.5875e+00 +3.3903e+00 -2.2607e+00 -3.7110e+00 +1.6124e-01 +3.4388e+00 +1.6316e+00 -3.9998e+00 -1.2489e+00 -2.6123e-01 +4.2424e+00 +9.2078e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.161681357e+09 +6.161681357e+09 +6.161681102e+09 +6.161681102e+09 -4.6464e+00 -4.4858e+00 +1.3734e+00 -2.1412e+00 -2.0207e+00 +4.9218e+00 +3.9188e+00 -4.0162e+00 -4.3772e+00 -4.8609e+00 -3.8543e+00 -2.2402e+00 -1.0026e+00 +3.9315e+00 +1.1050e+00 -1.3703e+00 +1.7291e-01 -3.7588e+00 -3.0852e-01 +4.4968e+00
2 +7.531981954e+08 +7.531981954e+08 +7.531979406e+08 +7.531979406e+08 -1.3920e+00 -1.1321e+00 +4.8164e+00 +3.2671e+00 +4.0235e-02 +1.4067e+00 +3.8078e+00 +3.7566e+00 -3.4033e+00 -1.3971e+00 +1.8063e+00 -6.6928e-01 -4.3975e+00 +3.0807e+00 -4.9669e+00 -1.5714e+00 +6.2524e-01 -3.0126e+00 -3.9670e+00 -1.1920e+00
23 +4.421653146e+08 +4.421653146e+08 +4.421650598e+08 +4.421650598e+08 +2.7388e+00 -6.0466e-01 +3.6634e+00 -1.3201e+00 -2.8556e+00 +3.7117e+00 -4.5211e+00 +1.1479e+00 +1.4938e+00 -2.2903e+00 -2.3733e+00 +1.2520e+00 -9.3874e-01 -4.2248e+00 -3.4076e+00 +1.2029e-01 +4.7271e+00 +4.7374e+00 -1.8721e+00 -1.3171e+00
34 +1.026440079e+08 +1.026440079e+08 +1.026437530e+08 +1.026437530e+08 +4.8848e+00 -4.4288e-01 -2.0163e+00 -2.0729e+00 -4.3714e+00 +8.9105e-01 -3.5263e+00 +3.2233e+00 +3.6646e+00 +4.9148e+00 +1.4824e+00 +4.9656e+00 -4.9601e+00 +9.2885e-01 -2.1077e+00 -2.1802e+00 +4.3322e+00 +6.4619e-01 +9.6291e-02 +4.7633e+00
