% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.947961599e+03 +4.947961599e+03 +5.040901599e+03 +5.040901599e+03 -2.9912e+00 -1.8408e+00 +4.6624e+00 +1.5036e+00 +1.6489e+00 -2.0133e+00 +4.1417e+00 +2.3494e+00 -3.0907e+00 -3.0137e+00 +2.7227e+00 -3.1154e+00 -1.7844e+00 +2.9841e+00 +2.2425e+00 -2.3693e+00 -1.9669e+00 -2.2913e+00 +3.2493e+00 +1.7207e+00
3 +3.424818245e+03 +3.424818245e+03 +3.517758245e+03 +3.517758245e+03 -7.1134e-01 -2.4139e-01 -3.5071e+00 -8.7144e-01 -3.9273e+00 -2.6537e+00 +2.9119e+00 +1.3880e+00 -1.8981e+00 -2.5389e+00 +2.1563e+00 +5.1967e-01 +1.6546e+00 +6.8100e-01 +2.1446e+00 -3.5589e+00 +1.6828e+00 +2.3178e+00 +5.4490e-01 +1.4371e-01
7 +2.108706088e+03 +2.108706088e+03 +2.201646088e+03 +2.201646088e+03 -2.9776e+00 +3.0572e+00 -1.4248e+00 +9.6591e-01 -2.9191e+00 -1.8055e-01 -1.5196e-01 -2.2767e+00 +2.4665e+00 +6.4816e-01 +4.9057e+00 +1.3317e-01 -3.5173e+00 -1.9994e+00 -3.7013e+00 -1.8491e+00 +3.9526e+00 -4.6721e+00 +2.8038e+00 +1.4842e+00
17 +1.115694196e+03 +1.115694196e+03 +1.208634196e+03 +1.208634196e+03 -2.1187e+00 +2.9074e+00 -2.5586e+00 +5.1821e-01 +3.7301e+00 +3.1185e+00 +5.1974e-01 -3.8969e+00 -1.3969e+00 +2.5178e+00 +4.5642e+00 -4.1580e+00 +1.3120e+00 -3.2222e-01 -1.9626e+00 +3.2622e+00 +2.4433e+00 +2.7739e+00 +2.8538e+00 +3.1331e+00
68 +9.183892083e+02 +9.183892083e+02 +1.011329208e+03 +1.011329208e+03 +4.8831e+00 +1.1065e+00 -1.5575e+00 -2.4241e+00 +1.9610e+00 -3.7195e+00 -8.5548e-01 +8.3520e-01 +4.8300e+00 +1.2639e+00 +2.7413e-02 -3.8900e+00 +1.9545e+00 -4.8226e-01 +3.8786e+00 +1.1120e+00 +4.2515e+00 -2.7862e+00 -3.4952e+00 -3.0212e-02
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.586322555e+03 +5.586322555e+03 +5.621672555e+03 +5.621672555e+03 -4.2796e+00 +1.2689e+00 -2.3013e+00 -2.3745e+00 -9.5540e-01 +1.1425e+00 +1.9796e+00 -3.1782e+00 +2.0923e+00 -2.6033e+00 -4.2052e+00 -4.4363e+00 -2.3049e+00 +2.4070e+00 +1.6379e+00 -3.1462e+00 -1.5066e+00 +4.3902e+00 -2.4409e+00 +2.1896e+00
2 +1.001154463e+03 +1.001154463e+03 +1.036504463e+03 +1.036504463e+03 +5.8457e-01 -3.1514e+00 +7.2390e-01 -1.0654e+00 -3.3483e+00 +9.0983e-01 +1.7023e+00 +1.6899e+00 +5.8332e-01 -5.1446e-01 -1.6287e+00 -1.5114e+00 +3.2742e+00 +3.5002e+00 -2.1202e+00 +1.9078e+00 +3.1826e+00 -4.7274e+00 +2.8685e+00 +4.2104e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.657089515e+02 +7.657089515e+02 +7.695289515e+02 +7.695289515e+02 -2.6995e-01 -2.7458e+00 -1.3734e+00 +3.9645e+00 +4.4331e+00 +1.5726e+00 -7.5169e-01 +4.1658e+00 -4.0671e+00 -4.3446e-02 +4.2022e+00 +4.5956e-01 +8.3324e-01 -4.6275e+00 +2.4557e+00 -8.8273e-01 +8.6731e-01 -4.7394e+00 +1.2895e+00 +3.8996e+00
35 +4.691677465e+02 +4.691677465e+02 +4.729877465e+02 +4.729877465e+02 +3.6977e+00 -3.8587e+00 -6.5150e-01 +2.0431e-01 +2.3359e+00 -1.8020e+00 +1.7416e+00 -4.6335e+00 +9.9907e-01 +1.6793e+00 -4.7378e-01 +2.9320e+00 +1.0228e+00 +1.5910e+00 +4.4175e+00 +2.2024e+00 -2.9889e+00 +3.0217e+00 +2.1324e+00 +2.1399e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.258575399e+03 +3.258575399e+03 +3.280325399e+03 +3.280325399e+03 +1.3578e+00 +1.9779e+00 -4.2246e+00 +2.2943e+00 +2.5016e+00 -4.2599e+00 +2.6903e+00 -9.0397e-01 +2.2140e+00 -2.4136e-01 -3.3242e+00 +4.7422e-01 -3.2699e+00 -2.0788e+00 +2.1800e+00 -6.5957e-01 +4.3503e+00 +2.4326e+00 -4.8412e+00 -2.5528e+00
7 +2.297072176e+03 +2.297072176e+03 +2.318822176e+03 +2.318822176e+03 -1.6820e+00 -4.9620e+00 -1.2694e+00 +1.6051e+00 +3.5387e+00 +1.2034e+00 -2.1798e+00 +2.3818e+00 +2.9865e+00 -1.9321e+00 -6.3766e-01 +2.9906e+00 -1.4815e+00 +2.4348e+00 -3.1617e+00 +3.5125e-01 -1.1211e+00 -1.2131e+00 -1.1443e+00 +3.9589e+00
10 +1.356606611e+03 +1.356606611e+03 +1.378356611e+03 +1.378356611e+03 +3.3245e+00 -4.7419e+00 -2.6892e+00 -2.3912e+00 +1.7219e+00 +3.6486e+00 -2.3721e+00 -4.4429e+00 +3.4329e+00 +4.3225e+00 -3.3971e+00 -8.9940e-01 +9.1490e-01 -3.2389e+00 +2.3728e+00 -1.9597e+00 -4.7513e+00 -1.2574e+00 -3.7538e+00 +1.3749e+00
20 +9.326353588e+02 +9.326353588e+02 +9.543853588e+02 +9.543853588e+02 +4.8461e+00 -3.7596e+00 +3.8779e+00 -3.6743e+00 +3.7639e+00 +2.7477e+00 +3.5471e+00 +6.2669e-02 +1.0006e+00 +2.3592e+00 -8.5358e-01 +7.2226e-01 +2.2130e+00 +4.4642e+00 -3.8288e+00 +3.5365e+00 -4.2371e+00 +1.6448e+00 -3.1515e+00 -2.6194e+00
98 +5.561736947e+02 +5.561736947e+02 +5.779236947e+02 +5.779236947e+02 +1.1525e+00 +2.2767e+00 -3.3887e+00 +2.5089e+00 +2.1853e+00 -4.8933e+00 +2.3550e+00 -8.6322e-02 +4.3901e+00 -2.8561e-01 +3.4540e+00 -4.9801e+00 +4.7693e+00 -3.9557e+00 -7.2810e-01 -3.8674e+00 -1.9618e+00 +3.1875e+00 +2.0871e+00 -2.4961e+00
152 +3.607084874e+02 +3.607084874e+02 +3.824584874e+02 +3.824584874e+02 -3.5717e+00 -1.2143e+00 +1.1509e+00 -4.5447e+00 -1.1843e+00 -2.7234e+00 +3.0607e+00 -3.7389e+00 -4.6315e+00 +2.1828e-01 +1.9779e+00 +3.5455e-02 +3.9245e+00 +5.2022e-01 -7.5312e-01 -4.6879e+00 +1.5032e+00 +2.1182e+00 +6.7342e-01 -4.9922e-01
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.690597604e+03 +1.690597604e+03 +1.755387604e+03 +1.755387604e+03 +2.0562e+00 -1.6003e+00 -2.5447e+00 -1.2097e+00 -4.9648e+00 -9.2170e-01 +3.3189e+00 -3.8055e+00 -3.9244e+00 +1.4793e+00 +3.2206e+00 -2.1810e+00 -3.1117e+00 +4.8430e+00 +1.4766e+00 +4.5425e-01 -2.5188e+00 +4.3674e-01 +4.7561e-01 -5.8954e-01
6 +1.342868442e+03 +1.342868442e+03 +1.407658442e+03 +1.407658442e+03 -7.1906e-02 +3.6053e+00 -2.2917e+00 +4.1857e-01 +4.9558e+00 -1.3197e+00 -3.9901e+00 -2.5650e-01 +1.3493e+00 +4.6075e+00 +3.3787e+00 +4.6509e-01 -4.0524e+00 -1.8333e+00 +1.6343e+00 +2.2197e+00 +1.6567e+00 +4.8023e+00 +7.7481e-02 -3.3577e+00
12 +9.875082472e+02 +9.875082472e+02 +1.052298247e+03 +1.052298247e+03 -2.9217e+00 +3.8167e+00 -2.3023e+00 -2.8483e+00 -2.1254e+00 +3.0704e+00 -2.4847e+00 -1.9513e+00 -5.5191e-02 +4.8574e+00 +2.1775e+00 +3.9690e+00 -3.0329e+00 -2.1333e+00 -2.2671e+00 +2.8937e+00 +2.0570e+00 -3.9499e+00 -3.6931e+00 +3.4305e+00
99 +5.019901961e+02 +5.019901961e+02 +5.667801961e+02 +5.667801961e+02 -3.9407e+00 +1.6185e+00 -2.6620e+00 +4.3623e+00 +1.3372e-01 -3.6351e+00 -1.9376e-01 +3.0652e+00 -8.4790e-01 +1.2183e+00 +3.8218e+00 +3.4825e+00 -6.2533e-01 +1.3910e-01 -1.3386e+00 +1.5015e+00 +2.2070e+00 -5.3794e-01 -2.0817e+00 +2.5202e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
