% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.721690641e+05 +4.721690641e+05 +4.716225641e+05 +4.716225641e+05 -1.6277e+00 -3.4372e-02 +1.2167e+00 +1.6484e+00 -2.1598e+00 +4.3400e-01 +3.8301e+00 +3.0296e+00 +2.9096e+00 -5.8756e-01 +2.1190e+00 -2.8189e+00 -4.1565e+00 +4.7692e+00 -1.3428e+00 +3.5113e+00 +4.4785e+00 -5.7735e-02 +4.8059e+00 -3.1194e+00
2 +7.888269113e+04 +7.888269113e+04 +7.833619113e+04 +7.833619113e+04 -2.6489e+00 +2.1208e+00 -3.5723e+00 -4.7036e+00 +4.6708e+00 +4.4542e+00 -3.8987e+00 +2.1385e+00 -2.9116e+00 +4.1648e+00 +4.2608e+00 +3.5558e+00 -1.7919e+00 +1.7932e+00 +9.1360e-01 -2.5147e+00 +3.7694e+00 -1.9978e+00 +1.9900e+00 +3.0018e+00
54 +5.848356893e+04 +5.848356893e+04 +5.793706893e+04 +5.793706893e+04 +3.1033e+00 +3.8890e+00 -2.9466e+00 -2.1832e+00 -3.8464e-02 -1.7248e+00 +1.7182e+00 -4.3552e+00 -3.1818e+00 -1.2396e+00 +3.3807e+00 -3.1119e-01 +2.4443e-01 -2.7079e+00 +9.8715e-01 -7.9195e-01 +4.2470e-01 -3.7162e+00 +2.3753e+00 -3.0703e-02
67 +3.362752686e+04 +3.362752686e+04 +3.308102686e+04 +3.308102686e+04 -8.1724e-01 -4.0064e-01 -3.7931e+00 +4.7324e+00 +4.4576e+00 -2.9017e+00 +2.6045e-01 -1.9650e+00 -3.4459e-01 -4.8307e-01 +3.1893e+00 +3.7906e+00 +2.9742e+00 +2.1862e+00 +3.4785e+00 -2.2697e+00 +2.0875e+00 +1.0978e-02 -1.6447e+00 +1.1966e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.113804045e+05 +1.113804045e+05 +1.123804045e+05 +1.123804045e+05 +1.7030e+00 +4.4192e+00 +3.5410e+00 +4.9627e+00 +1.1230e+00 +1.3117e+00 -4.2474e-01 -1.9152e+00 +1.7011e+00 -3.3247e+00 +4.5141e+00 +3.4283e+00 -1.6066e+00 +3.8829e+00 -1.9742e+00 -2.6422e+00 +3.5193e-01 -2.1255e+00 -3.2374e+00 +2.2701e-01
12 +7.486332268e+04 +7.486332268e+04 +7.586332268e+04 +7.586332268e+04 -1.4028e+00 -2.3365e+00 +2.6298e+00 +4.5472e+00 -6.3006e-01 -2.7411e+00 +1.1060e+00 +1.7643e+00 -9.6404e-01 +4.2485e-01 +9.8289e-01 +9.3289e-01 -2.2741e+00 -3.9696e+00 +4.5150e+00 -4.3366e+00 -2.2447e+00 +8.1189e-01 -7.1332e-02 +1.9336e+00
144 +5.126575572e+04 +5.126575572e+04 +5.226575572e+04 +5.226575572e+04 -4.4525e+00 +1.7603e+00 +8.2062e-01 -1.1292e+00 -1.0440e+00 -2.0397e+00 -1.4692e+00 -1.6979e+00 -3.6599e-01 +2.1710e+00 -3.1816e+00 +6.1079e-02 -4.1116e-01 -1.6505e+00 +1.0561e+00 -2.3245e+00 -4.5209e+00 -3.4495e+00 -2.9890e+00 +3.5943e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.046361356e+05 +2.046361356e+05 +2.048445156e+05 +2.048445156e+05 -2.0839e+00 -3.3261e+00 +3.6203e-01 +4.2245e+00 -1.0268e+00 +2.2090e+00 +1.0199e-01 +2.8329e+00 +1.2931e+00 +2.8579e+00 -3.6012e+00 -3.9959e+00 +4.6926e+00 -2.3648e+00 -2.9756e+00 -4.9587e+00 -3.8119e+00 +2.0409e+00 -1.7861e+00 +4.6567e+00
4 +9.996378188e+04 +9.996378188e+04 +1.001721619e+05 +1.001721619e+05 +1.6118e+00 +7.5325e-01 +2.5160e+00 +3.4740e+00 +2.6151e+00 -1.0278e+00 -1.7405e+00 -3.1295e+00 +1.1761e+00 +2.9809e+00 -2.0930e+00 +2.9171e+00 +4.0926e-01 +4.1528e-01 +4.7065e+00 +1.7028e+00 -2.3214e+00 -1.3627e+00 +4.1183e+00 -3.6416e-01
31 +4.065994422e+04 +4.065994422e+04 +4.086832422e+04 +4.086832422e+04 +1.1058e+00 -1.4281e+00 -1.6155e+00 +3.4178e+00 +2.2454e-01 -2.2015e+00 +4.8226e+00 +1.3791e+00 +1.6839e+00 -1.1293e+00 -1.6487e+00 +3.7964e+00 -2.4939e-01 +1.7943e+00 +3.3502e+00 -2.4727e+00 +8.3261e-01 -1.8618e-01 +2.6673e-01 -5.6443e-01
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.249133956e+05 +2.249133956e+05 +2.247684356e+05 +2.247684356e+05 +4.2712e+00 +4.8263e+00 +7.2073e-01 -2.0375e+00 +4.5069e-01 -2.7722e+00 +5.3726e-01 +3.0902e+00 +1.4481e+00 +3.4356e+00 +2.6860e+00 -4.1219e+00 +3.5978e+00 +2.6077e+00 +3.4052e+00 -3.1572e+00 +4.7307e+00 +5.3128e-01 +3.9532e+00 +2.1244e+00
7 +1.109547184e+05 +1.109547184e+05 +1.108097584e+05 +1.108097584e+05 +3.5730e+00 +4.9928e+00 +1.9876e+00 +7.3899e-02 -6.6647e-01 -2.3912e+00 -4.5069e+00 +2.6981e+00 +5.7480e-01 +1.3865e-01 +1.3527e+00 +1.3925e+00 -1.6639e+00 -1.9010e+00 +3.6387e+00 -3.3062e-01 -8.4641e-01 +3.9905e-01 -2.7353e+00 +2.4906e-01
