% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.178927522e+01 +8.178927522e+01 +1.225692752e+02 +1.225692752e+02 -9.1516e-02 -2.1936e+00 +2.1892e+00 +9.4031e-01 -9.5474e-02 -2.3756e+00 +3.3253e-01 +2.4192e+00 +2.3649e+00 +5.2744e-01 -5.1099e-01 -2.7738e+00 -1.3244e+00 -1.2614e+00 -6.8887e-02 +3.6729e+00 -1.3237e+00 +5.5688e-01 -3.1162e+00 -1.3409e+00
3091 +6.298898159e+01 +6.298898159e+01 +1.037689816e+02 +1.037689816e+02 +2.3333e+00 +1.4936e-01 +4.6159e-01 -1.9023e+00 -1.8709e+00 -7.8488e-01 -7.9611e-01 -1.9617e+00 +1.3361e+00 -3.9792e+00 +2.3153e+00 -1.2390e+00 -8.8819e-01 -8.0471e-01 -2.1987e+00 -2.8494e+00 +2.5983e+00 -3.4065e+00 +2.0977e-01 +7.1561e-01
5783 +3.925499703e+01 +3.925499703e+01 +8.003499703e+01 +8.003499703e+01 +2.1247e+00 -3.9806e-01 -9.6598e-02 -1.7595e+00 -2.5173e+00 -3.6900e-01 -1.7404e+00 -2.3624e+00 +9.5629e-01 -4.1764e+00 +2.6806e+00 -1.2423e+00 -1.2896e+00 -8.5637e-01 -2.3573e+00 -3.0921e+00 +2.2561e+00 -3.2820e+00 +1.8743e-01 -2.2024e-01
7768 +2.500564735e+01 +2.500564735e+01 +6.578564735e+01 +6.578564735e+01 +2.2964e+00 -8.5815e-01 -3.2827e-01 -1.2984e+00 -2.9602e+00 -1.4424e-01 -2.4964e+00 -2.3906e+00 +7.8166e-01 -4.1356e+00 +2.7611e+00 -1.7150e+00 -1.3404e+00 -8.6772e-01 -2.1050e+00 -3.3267e+00 +2.1934e+00 -2.9635e+00 +3.9949e-01 -6.4930e-01
9393 +1.561063380e+01 +1.561063380e+01 +5.639063380e+01 +5.639063380e+01 +2.0932e+00 -1.2450e+00 -8.0112e-01 -1.2549e+00 -3.2984e+00 +1.0296e-01 -2.7693e+00 -2.6646e+00 +4.7457e-01 -4.1228e+00 +3.0310e+00 -1.4787e+00 -1.2982e+00 -1.1266e+00 -2.0881e+00 -3.8230e+00 +1.6455e+00 -2.6188e+00 +2.6012e-01 -1.0991e+00
10771 +9.992474624e+00 +9.992474624e+00 +5.077247462e+01 +5.077247462e+01 +1.6959e+00 -1.7440e+00 -1.0224e+00 -1.0743e+00 -3.4641e+00 -1.7438e-01 -3.0319e+00 -2.6859e+00 +3.2766e-01 -4.4264e+00 +3.1739e+00 -1.7574e+00 -1.4644e+00 -1.1549e+00 -2.0241e+00 -3.7575e+00 +1.6644e+00 -2.3286e+00 -2.2976e-01 -1.4185e+00
12846 +6.138866129e+00 +6.138866129e+00 +4.691886613e+01 +4.691886613e+01 -2.4569e+00 -3.2492e+00 +7.3463e-01 +2.8740e+00 +1.4632e+00 -4.1787e+00 +1.1981e+00 -2.6521e+00 -8.3331e-03 +4.4871e+00 +3.2168e+00 +2.7652e+00 +1.2556e+00 +2.7832e+00 +4.0122e-02 +4.4632e-01 +1.5979e+00 +2.7082e+00 +2.6292e+00 -2.7874e+00
14099 +3.584260605e+00 +3.584260605e+00 +4.436426060e+01 +4.436426060e+01 -2.8266e+00 -3.2784e+00 +7.3143e-01 +2.8617e+00 +1.2794e+00 -4.4982e+00 +1.2177e+00 -2.6324e+00 -9.6406e-02 +4.5044e+00 +3.4709e+00 +2.6879e+00 +8.2439e-01 +3.0722e+00 +1.8454e-01 +2.7017e-01 +1.9818e+00 +2.5595e+00 +2.7781e+00 -2.8918e+00
15348 +2.508711057e+00 +2.508711057e+00 +4.328871106e+01 +4.328871106e+01 -3.2418e+00 -3.1954e+00 +7.1342e-01 +2.9219e+00 +1.3412e+00 -4.6179e+00 +1.3609e+00 -2.4773e+00 -1.4274e-01 +4.4879e+00 +3.8972e+00 +2.5755e+00 +7.5866e-01 +3.0628e+00 +3.6172e-02 +2.8960e-01 +2.2123e+00 +2.6069e+00 +2.7803e+00 -2.8383e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
