% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.989566567e+05 +4.989566567e+05 +4.990804867e+05 +4.990804867e+05 -1.0154e+00 +4.1861e-01 -3.1424e+00 -4.0892e+00 -4.5051e+00 -2.3858e+00 -1.8738e+00 +4.0643e+00 -3.4949e+00 -2.3072e+00 +2.5062e+00 +4.4036e+00 +1.6536e+00 -4.0921e+00 +4.6028e+00 +1.4207e-01 -2.3617e+00 +4.9927e+00 -4.5149e+00 -3.5415e+00
2 +3.503460410e+05 +3.503460410e+05 +3.504698710e+05 +3.504698710e+05 +3.9212e-01 -3.9577e+00 -4.8318e+00 +2.6014e+00 -9.8452e-01 +4.5508e-01 +2.4742e+00 -1.3848e+00 -1.6999e-01 +3.9923e+00 -9.4109e-01 +3.2222e+00 -7.3790e-01 -1.8911e+00 -4.7799e+00 -1.5388e-01 -1.6665e+00 -3.2334e+00 -1.1021e+00 -2.3636e+00
3 +2.093518156e+05 +2.093518156e+05 +2.094756456e+05 +2.094756456e+05 +1.7362e+00 +3.7665e-01 -2.0758e+00 +2.9897e+00 +2.2558e+00 -2.3961e+00 -1.4742e-01 +3.8823e+00 +9.2348e-01 -6.8884e-01 +1.0933e+00 +3.2587e+00 +2.4016e+00 +4.3852e+00 +2.2958e+00 +1.8310e-01 +2.5780e+00 -3.6925e-01 -2.7876e+00 +3.0634e-01
21 +1.552028190e+05 +1.552028190e+05 +1.553266490e+05 +1.553266490e+05 -2.9861e-01 -3.2881e+00 +3.2987e+00 -1.7987e+00 -1.5534e+00 +2.0535e+00 +2.1451e+00 -3.4214e+00 -1.1601e+00 +2.6929e+00 -3.5117e+00 +1.1452e+00 +3.8121e+00 +2.0375e+00 +2.1280e-01 -4.4078e+00 +2.4740e+00 -2.4258e+00 -1.7655e+00 +1.6617e+00
49 +4.963298499e+04 +4.963298499e+04 +4.975681499e+04 +4.975681499e+04 +9.8020e-01 +2.8830e+00 +2.3111e+00 -1.0364e+00 +3.6262e+00 -1.7447e+00 +4.3171e+00 -9.5569e-01 +1.2363e+00 +1.5708e+00 +2.4451e+00 -4.0152e-01 -2.0110e-01 +7.1151e-01 -6.5955e-01 -2.4028e+00 -1.2002e+00 -1.3815e+00 +8.5051e-01 -9.7750e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.000732934e+05 +3.000732934e+05 +3.001208034e+05 +3.001208034e+05 +2.0166e+00 +4.1041e+00 +1.5967e-01 -1.6234e+00 -1.2489e+00 +6.5924e-01 -2.9505e-01 +1.2021e+00 +3.4895e+00 -2.3032e+00 +4.0122e+00 -2.6840e+00 -4.7947e+00 +4.5248e-01 +4.6872e+00 -4.9225e+00 -3.7283e+00 -7.8368e-01 +4.1626e+00 -3.0017e-01
13 +2.139132832e+05 +2.139132832e+05 +2.139607932e+05 +2.139607932e+05 +3.5386e-01 -2.0237e+00 -2.6392e+00 +2.3560e+00 -2.4114e+00 -3.4683e+00 +6.4648e-01 +2.9700e+00 +3.1131e+00 -8.5800e-01 -3.0238e+00 +4.8442e-01 -7.6830e-01 -6.6217e-01 -4.7227e+00 +2.2863e+00 +1.2778e+00 -3.8102e+00 +2.3362e-01 +1.7220e+00
14 +1.342146130e+05 +1.342146130e+05 +1.342621230e+05 +1.342621230e+05 -7.7494e-01 +1.7271e+00 +3.4822e-01 -1.4032e+00 -5.1708e-01 +6.5658e-02 +1.2895e+00 -2.6281e+00 +1.7530e+00 -4.9848e+00 +1.0364e+00 +4.1327e+00 +1.6304e+00 +1.6830e+00 -1.8057e-01 +4.3196e+00 -1.9818e+00 +3.7479e+00 -9.3365e-01 +2.4875e+00
107 +9.815770134e+04 +9.815770134e+04 +9.820521134e+04 +9.820521134e+04 +3.6915e+00 -2.1637e+00 -3.1071e+00 -1.7286e+00 +6.2721e-01 -4.6642e-01 +2.8569e+00 +4.3472e+00 +2.9649e-01 -2.0608e+00 -2.8728e+00 -3.1571e+00 -6.9079e-01 -1.1828e-01 -2.2297e+00 +3.7602e-01 -1.3694e+00 +2.0528e+00 +8.4716e-01 -3.1771e+00
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.976239889e+05 +1.976239889e+05 +1.976793289e+05 +1.976793289e+05 +3.5017e+00 +1.7530e-01 -2.2053e+00 -3.2517e+00 -5.2831e-01 +2.7575e+00 +2.1258e+00 +3.5050e+00 -4.6558e-01 -2.0865e+00 +2.6061e-01 -3.3056e-01 +1.5841e+00 +2.9377e+00 -4.6210e+00 +2.6880e+00 -1.6618e+00 +4.7956e+00 +1.7530e+00 +2.7853e+00
11 +1.087763857e+05 +1.087763857e+05 +1.088317257e+05 +1.088317257e+05 +1.7830e+00 -2.2470e+00 -3.8482e+00 -5.9179e-01 +3.3542e-01 +1.0166e+00 -3.7920e-01 -1.6535e+00 +1.4468e+00 +3.2563e+00 -3.9520e+00 +4.1734e-01 -8.7977e-01 +1.3622e+00 -6.8242e-01 +1.0739e+00 -3.9176e+00 +1.3551e+00 +8.5042e-01 +5.9742e-01
39 +9.113496707e+04 +9.113496707e+04 +9.119030707e+04 +9.119030707e+04 +7.0425e-01 +2.7489e+00 -4.1899e-01 +9.4605e-02 +3.7539e+00 +1.9061e+00 -3.2752e-01 +3.5685e+00 +2.0327e+00 +4.8828e-01 +2.9880e+00 -5.5749e-01 +5.8426e-01 +3.3343e-01 -9.4354e-01 +3.5523e-01 -2.6385e+00 -7.4974e-01 -3.2139e+00 +4.2407e+00
52 +4.646853264e+04 +4.646853264e+04 +4.652387264e+04 +4.652387264e+04 +4.4170e-01 +9.1090e-01 +1.6104e+00 +1.4869e+00 -8.2528e-01 +4.8821e-01 -1.5114e+00 -9.7316e-01 +4.8996e+00 +3.9277e+00 -1.7989e-01 +1.1824e+00 +1.3076e-01 +5.5176e-01 +1.8263e-01 -5.9285e-01 -1.3936e+00 +1.2257e+00 -1.5679e+00 +1.8251e+00
% function evaluation | noise-free fitness - Fopt (-9.033000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
