% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.301069035e+03 +2.301069035e+03 +2.331039035e+03 +2.331039035e+03 +2.4321e+00 +1.9062e+00 -2.5494e+00 +2.1591e+00 +1.4947e+00 +3.6526e+00 -9.5630e-01 -2.5639e+00 -3.3176e-02 -6.7514e-01 -9.7739e-01 -6.9700e-01 +3.1319e+00 +8.3816e-01 +1.3168e+00 -3.5822e+00 +2.6590e+00 -6.4981e-01 -3.6046e+00 -2.6945e+00
76 +1.563755117e+03 +1.563755117e+03 +1.593725117e+03 +1.593725117e+03 +1.2649e+00 -1.8576e+00 -2.0202e+00 -3.7383e-01 -2.1850e+00 +1.0476e+00 -1.1479e+00 -1.5885e+00 +6.9693e-01 +7.7490e-01 -4.9126e-01 -1.3060e+00 +8.2472e-01 +1.6414e+00 -3.4455e+00 +1.1891e+00 -2.3561e+00 -1.2048e+00 +1.2194e+00 -2.2980e-01
2500 +9.986985048e+02 +9.986985048e+02 +1.028668505e+03 +1.028668505e+03 +1.2683e+00 -5.6724e-01 -3.0424e+00 -6.9404e-01 +1.5305e+00 +1.0354e+00 -9.7522e-01 -1.7422e+00 -6.3579e-02 -5.8829e-01 -5.3677e-01 -1.0602e+00 +1.3311e+00 +1.6645e+00 -1.6111e+00 +3.5311e-01 -8.4621e-01 -1.1391e+00 +8.2103e-01 -4.7763e-01
6502 +6.286618754e+02 +6.286618754e+02 +6.586318754e+02 +6.586318754e+02 +1.1995e+00 -8.8197e-01 -3.4133e+00 -8.1627e-01 +2.0582e+00 +1.6102e+00 -2.0640e+00 -2.3391e+00 +2.1766e-03 -1.1853e+00 +4.4307e-01 -1.4510e+00 +2.2228e+00 +2.3935e+00 -1.1449e+00 +1.1792e+00 -1.5130e+00 -8.2430e-01 +9.0876e-01 -1.4380e+00
9530 +3.887023842e+02 +3.887023842e+02 +4.186723842e+02 +4.186723842e+02 +1.0684e+00 -8.5790e-01 -3.9282e+00 -1.1751e+00 +2.4787e+00 +2.3170e+00 -2.7675e+00 -2.7271e+00 +4.2160e-01 -1.4945e+00 +8.3124e-01 -1.3339e+00 +3.1266e+00 +2.0961e+00 -9.6771e-01 +1.6492e+00 -1.8808e+00 -1.2225e+00 +1.2884e+00 -2.1528e+00
11161 +2.314420843e+02 +2.314420843e+02 +2.614120843e+02 +2.614120843e+02 +1.1601e+00 -1.1666e+00 -3.8114e+00 -1.7186e+00 +2.7021e+00 +2.9016e+00 -3.3496e+00 -2.7010e+00 +6.8404e-01 -1.6751e+00 +1.2203e+00 -1.3842e+00 +3.3366e+00 +2.2078e+00 -1.2429e+00 +2.1669e+00 -2.0720e+00 -1.2387e+00 +1.2307e+00 -2.4974e+00
12686 +1.569817706e+02 +1.569817706e+02 +1.869517706e+02 +1.869517706e+02 +1.0641e+00 -1.4262e+00 -3.8038e+00 -1.5985e+00 +2.9409e+00 +2.9646e+00 -3.5342e+00 -2.6891e+00 +7.2755e-01 -1.7600e+00 +1.2513e+00 -1.7100e+00 +3.6145e+00 +2.2716e+00 -1.4942e+00 +2.4087e+00 -2.2658e+00 -1.3442e+00 +1.1789e+00 -2.7681e+00
14051 +7.732432019e+01 +7.732432019e+01 +1.072943202e+02 +1.072943202e+02 +9.2215e-01 -1.4036e+00 -3.7060e+00 -1.7716e+00 +3.0710e+00 +3.3336e+00 -3.8333e+00 -2.7237e+00 +8.4276e-01 -1.7295e+00 +1.3423e+00 -1.7274e+00 +3.7975e+00 +2.2223e+00 -1.6264e+00 +2.5740e+00 -2.3702e+00 -1.1052e+00 +1.3529e+00 -3.1467e+00
15586 +6.305734958e+01 +6.305734958e+01 +9.302734958e+01 +9.302734958e+01 +8.4602e-01 -1.5220e+00 -3.7864e+00 -1.7694e+00 +3.1972e+00 +3.4557e+00 -3.8226e+00 -2.9227e+00 +9.3796e-01 -1.7803e+00 +1.4490e+00 -1.7551e+00 +4.0872e+00 +2.3205e+00 -1.4295e+00 +2.6130e+00 -2.5085e+00 -1.1179e+00 +1.4876e+00 -3.1940e+00
26526 +3.654673279e+01 +3.654673279e+01 +6.651673279e+01 +6.651673279e+01 +7.9253e-01 -1.7296e+00 -3.6658e+00 -1.9067e+00 +3.1000e+00 +3.5555e+00 -3.8955e+00 -2.8165e+00 +9.3625e-01 -1.8299e+00 +1.3574e+00 -1.8438e+00 +4.1084e+00 +2.4663e+00 -1.6388e+00 +2.6451e+00 -2.4956e+00 -1.1884e+00 +1.4537e+00 -3.3027e+00
