% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.650276762e+07 +5.650276762e+07 +5.650271268e+07 +5.650271268e+07 +4.8767e+00 -2.3061e+00 +1.6263e+00 -7.9413e-01 -4.3829e+00 -2.4113e+00 +3.6962e+00 -2.7567e+00 +2.9151e+00 -3.5475e+00 -4.1744e+00 -4.4801e+00 +2.8396e+00 +2.7541e+00 +4.1438e+00 +1.0795e+00 +3.7830e+00 -4.6050e+00 +3.5914e-01 +3.1354e+00
2 +1.258631558e+07 +1.258631558e+07 +1.258626064e+07 +1.258626064e+07 +9.0498e-01 -5.7893e-01 -4.3502e+00 -4.1257e+00 -2.2129e+00 +3.4587e+00 +2.8014e+00 +3.1194e+00 -1.9575e+00 +1.4488e+00 -2.2462e+00 -1.5298e+00 +2.8306e+00 -2.4491e+00 -4.9414e+00 -3.3100e+00 -3.5329e+00 +2.4247e+00 -2.2129e-01 -3.7847e+00
10 +8.795810703e+06 +8.795810703e+06 +8.795755763e+06 +8.795755763e+06 +1.1447e+00 +3.2564e-01 +2.6882e+00 -3.2085e+00 -4.7608e+00 -2.5120e+00 +4.4054e+00 +2.2896e+00 +4.8104e-01 -8.5639e-01 +2.0430e+00 +5.9145e-01 +4.7782e+00 -2.1729e-01 -1.9356e+00 -1.0341e+00 +1.6805e+00 +3.1121e+00 +2.2549e+00 +1.1112e+00
14 +4.954505194e+06 +4.954505194e+06 +4.954450254e+06 +4.954450254e+06 -1.2261e+00 -9.5532e-01 +3.7306e+00 -1.5933e+00 -1.0016e+00 -8.7666e-01 +3.2444e+00 -4.6421e+00 +5.4918e-01 -4.2604e-01 +2.9262e+00 -1.2499e+00 +4.5787e+00 -2.7446e+00 +3.9455e+00 +1.4105e+00 +1.8545e-01 -8.7051e-01 -2.0929e+00 +4.7882e+00
28 +3.215330848e+06 +3.215330848e+06 +3.215275908e+06 +3.215275908e+06 -3.2008e+00 -3.1392e+00 -4.6568e+00 +2.8338e+00 -2.0267e+00 -3.7627e+00 -2.2842e+00 +3.2349e+00 +4.2493e+00 -1.2231e+00 -2.7765e+00 +6.9676e-01 -1.0746e+00 -4.1489e+00 -6.6898e-01 -1.0487e+00 +2.2443e-01 +3.2611e+00 -4.3270e+00 -1.0621e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.376762069e+06 +8.376762069e+06 +8.376821199e+06 +8.376821199e+06 +4.5417e+00 +1.0899e+00 +2.3800e+00 -4.0370e+00 -5.1467e-01 -3.1021e+00 +1.5757e+00 -1.4836e+00 -3.8419e+00 +1.7590e+00 -1.3510e+00 +1.9820e+00 +1.8498e+00 +4.4223e+00 +1.4113e+00 +1.4112e+00 +5.3758e-01 +8.0639e-01 -3.6954e+00 +8.1923e-01
13 +5.660486700e+06 +5.660486700e+06 +5.660545830e+06 +5.660545830e+06 +5.8430e-01 +5.7344e-01 +1.6484e+00 -3.3541e+00 +1.1903e+00 -2.0564e+00 +1.5518e-01 -1.6747e+00 -2.6731e+00 +2.1983e+00 +3.7328e+00 +1.8009e+00 -3.2854e+00 +1.7083e+00 +3.0923e+00 +3.4447e+00 +3.8417e+00 +5.2299e-01 -7.8180e-01 -2.6710e+00
59 +3.340847984e+06 +3.340847984e+06 +3.340907114e+06 +3.340907114e+06 +2.5030e+00 +4.6050e+00 -1.9599e-01 -2.1344e+00 +1.8030e+00 -2.2274e+00 -8.8075e-01 +1.4262e+00 -3.9875e+00 -3.9229e+00 -3.2419e-01 +2.1353e+00 +3.5343e+00 -2.7056e+00 +5.4746e-01 -2.0810e+00 +4.7308e+00 -1.0051e+00 -2.8037e+00 +4.3691e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.819258048e+06 +4.819258048e+06 +4.818766518e+06 +4.818766518e+06 -6.8588e-01 -6.8742e-02 +1.7629e+00 +3.1571e+00 -3.6775e+00 -1.7601e+00 -7.5170e-01 -2.1299e+00 -3.7173e+00 -2.8336e+00 +3.4874e+00 +2.2573e+00 -1.6781e+00 -5.0645e-01 +3.6844e+00 -4.7358e+00 +1.4802e-01 +2.1129e+00 -7.5068e-01 -4.1525e+00
10 +4.376410284e+05 +4.376410284e+05 +4.371494984e+05 +4.371494984e+05 -4.0954e+00 +1.6856e-02 -3.6502e+00 -3.7559e+00 +1.2790e+00 +3.2938e+00 +3.9082e+00 -7.9893e-01 -3.7583e+00 +4.7347e+00 -3.9196e+00 +4.8045e+00 -4.7581e+00 -4.8011e+00 -3.6454e+00 -7.5632e-01 +1.5961e+00 +3.8343e+00 -3.1378e+00 -2.4627e+00
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.551685444e+07 +4.551685444e+07 +4.551668424e+07 +4.551668424e+07 +1.0069e+00 +3.6214e+00 -3.4535e+00 -2.0127e+00 -3.2278e+00 +3.1876e-01 -3.0411e-01 -3.2061e+00 +4.0994e+00 -2.2048e+00 +1.3103e-01 +1.2415e+00 -8.4375e-01 +3.6071e+00 +4.1505e+00 +2.8227e+00 -2.9324e+00 +3.9111e+00 +2.5581e+00 +1.3079e+00
2 +1.236630477e+07 +1.236630477e+07 +1.236613457e+07 +1.236613457e+07 -3.6588e+00 +3.7082e+00 -1.2347e+00 +2.4260e+00 +2.9951e+00 -1.7841e+00 +3.7848e+00 -4.3984e+00 -4.2246e+00 -3.1435e+00 -4.2243e+00 -4.1315e+00 +3.9024e+00 +1.9795e+00 -2.6420e+00 +4.9028e+00 -4.1482e+00 +2.8438e-01 -1.8249e+00 +2.4568e+00
4 +3.298511167e+06 +3.298511167e+06 +3.298340967e+06 +3.298340967e+06 +4.1930e+00 -1.7764e+00 -2.5691e+00 +2.3459e+00 +1.0880e+00 +1.0001e+00 +3.1119e+00 +2.5076e+00 -4.6061e+00 +2.9775e+00 +3.7942e+00 +4.5954e+00 +1.3420e+00 +3.1396e+00 +2.5526e+00 -4.1335e+00 +4.4931e+00 +1.7039e+00 +2.2486e+00 +3.0173e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.487159579e+07 +6.487159579e+07 +6.487112604e+07 +6.487112604e+07 -7.3540e-01 +8.4681e-02 -4.6937e+00 +3.1912e+00 +3.3755e-01 +4.1061e+00 -2.1235e+00 -1.2904e+00 +7.4731e-01 -8.1808e-01 +2.1966e+00 +1.9919e+00 -4.6218e+00 +4.5858e+00 +4.8693e+00 +5.9178e-01 -4.7181e+00 -2.6443e+00 -2.4691e+00 +1.8576e+00
2 +2.639103327e+07 +2.639103327e+07 +2.639056352e+07 +2.639056352e+07 -4.7038e+00 -1.1330e+00 +1.2995e+00 +4.6640e+00 -3.5103e+00 +4.3400e+00 +3.5945e+00 +3.9123e-01 -4.1122e+00 -4.5319e+00 -1.5740e-01 +1.9042e+00 +9.4786e-01 -4.4449e+00 +4.2943e+00 -3.3445e+00 +4.7870e+00 +1.7192e+00 -2.2157e+00 +4.7078e+00
3 +4.992664112e+06 +4.992664112e+06 +4.992194362e+06 +4.992194362e+06 -1.3187e+00 +1.5633e+00 -4.6213e+00 +4.4225e+00 -2.3000e+00 +4.5317e+00 -4.7911e+00 +3.6838e+00 +2.0156e+00 -1.2915e+00 +3.4033e+00 -2.3131e+00 +3.2787e+00 -2.1730e+00 -1.5355e+00 +7.1144e-01 -5.2776e-02 +3.6710e+00 +2.0702e+00 -4.2791e+00
5 +2.049704227e+06 +2.049704227e+06 +2.049234477e+06 +2.049234477e+06 +3.4241e-02 +3.1037e+00 +4.4904e-01 +3.6723e+00 -1.2405e+00 +2.2513e+00 -4.1237e+00 +1.0692e+00 +3.3989e+00 +1.0450e+00 -3.3054e+00 -2.5249e-01 +4.0925e+00 -1.9151e+00 -1.0844e+00 +1.5749e+00 -1.2980e+00 +4.2405e+00 +1.4931e+00 -3.9181e+00
% function evaluation | noise-free fitness - Fopt (1.999100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.910304357e+07 +1.910304357e+07 +1.910324348e+07 +1.910324348e+07 -2.0226e+00 -2.0422e+00 -2.8153e+00 -3.3575e+00 -4.3831e+00 -3.2429e-01 -4.1297e+00 +4.0507e-01 +4.9242e+00 +1.3514e+00 +2.4416e+00 -1.9272e+00 +1.6910e+00 -3.4369e+00 -2.6319e+00 +6.0274e-01 -5.2825e-01 -2.7585e+00 -1.4517e+00 -2.2517e+00
9 +1.102494869e+07 +1.102494869e+07 +1.102514860e+07 +1.102514860e+07 +1.2859e+00 -7.8971e-01 -2.3751e+00 +4.5892e+00 -4.6535e-01 +4.8219e+00 +1.8603e+00 -1.7932e+00 -3.0805e+00 +1.8435e+00 -1.8869e+00 +2.6946e+00 -4.6110e+00 +2.2465e+00 +2.4788e+00 -1.6995e+00 +1.9020e+00 -2.9236e+00 -1.8477e+00 +4.6294e+00
10 +7.531602514e+06 +7.531602514e+06 +7.531802424e+06 +7.531802424e+06 -1.9149e+00 -1.6449e+00 +3.0610e+00 +2.9673e+00 +4.8568e+00 +1.4414e+00 +1.7655e+00 +4.5968e+00 -2.3007e+00 +4.9225e+00 -1.6675e+00 -3.7004e+00 -9.0585e-01 +4.6431e+00 +3.2489e+00 -8.0614e-01 -4.4688e+00 -4.9040e+00 -3.5736e+00 +1.7207e+00
