% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.480300178e+01 +6.480300178e+01 +4.786300178e+01 +4.786300178e+01 -1.9003e+00 +2.1132e+00 -1.0408e+00 -1.7388e+00 -2.9026e-01 +5.5514e-01 +2.2946e+00 +3.5168e+00 +6.8882e-01 +2.0589e+00 -2.5505e+00 +2.0588e+00 +1.7964e+00 +1.7650e+00 +3.5103e-01 +2.8125e+00 +1.5142e+00 -2.9874e+00 -3.1886e+00 -3.2392e-01
5 +5.218969364e+01 +5.218969364e+01 +3.524969364e+01 +3.524969364e+01 +7.5044e-01 -1.5033e+00 +3.0743e+00 -3.5038e+00 +3.2199e+00 -2.9566e+00 +2.8520e+00 +3.1540e+00 -2.9243e+00 +3.9767e+00 -2.1064e-01 +2.9441e+00 +8.9870e-01 -3.5702e-01 +7.2490e-01 +1.1016e+00 +2.0096e+00 -2.4923e+00 +3.6333e+00 +2.9307e+00
7 +3.723281187e+01 +3.723281187e+01 +2.029281187e+01 +2.029281187e+01 -3.0027e+00 -3.1386e+00 +3.7742e+00 +3.4707e+00 -7.4022e-01 +3.1743e+00 +3.0353e+00 -9.7199e-01 +3.7501e+00 -1.3673e+00 -1.9188e+00 -7.6658e-01 -1.3524e+00 +2.6921e+00 +3.0516e+00 -1.8045e+00 +3.3696e+00 +1.2856e+00 -2.7695e+00 -3.2754e-01
10 +1.779349858e+01 +1.779349858e+01 +8.534985800e-01 +8.534985800e-01 +1.4957e+00 +1.1397e-01 +3.2865e+00 -1.0273e+00 +1.3353e+00 +3.8133e+00 +2.3499e+00 -2.7945e+00 -2.1452e+00 -3.2914e+00 +2.5038e+00 +3.1346e-02 +3.2204e+00 -3.5158e+00 -2.6490e+00 -1.8559e+00 +7.8030e-01 +2.1330e+00 -3.3780e+00 -2.8137e+00
120 +1.543397341e+01 +1.543397341e+01 -1.506026587e+00 -1.506026587e+00 +2.3671e+00 +1.8409e+00 -1.1493e+00 -1.7357e-01 +1.7450e+00 -3.3752e+00 +2.9888e+00 -2.0982e+00 -3.3329e+00 +4.3450e-01 +8.2601e-01 +1.0148e+00 +3.6431e+00 -2.8070e+00 +9.6512e-01 +1.4425e+00 +2.4339e+00 +3.9154e-01 -2.3830e+00 +2.3854e+00
5772 +9.875488106e+00 +9.875488106e+00 -7.064511894e+00 -7.064511894e+00 +6.1968e-01 +5.1975e-01 -4.1393e+00 -2.7782e+00 +8.6030e-01 -2.1771e+00 -5.4888e-01 -2.1068e+00 -1.7126e+00 +2.8405e+00 -6.3160e-01 -1.6522e-01 -3.1826e+00 -1.2800e+00 +1.7467e+00 +1.3078e+00 +2.4626e+00 +2.5459e+00 +3.5808e+00 +4.9740e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.888719945e+01 +1.888719945e+01 +3.769719945e+01 +3.769719945e+01 +1.1079e+00 +2.3181e+00 +1.2511e+00 +1.2515e+00 +3.7729e+00 -2.2479e+00 +1.1102e+00 +2.1301e+00 +9.8940e-01 -2.3966e+00 -5.9489e-01 -3.2034e+00 +1.8955e+00 -3.5671e+00 -9.6855e-01 +3.0259e+00 +2.3976e-01 +1.5672e+00 -2.3602e-01 -1.6611e+00
9 +1.297179324e+01 +1.297179324e+01 +3.178179324e+01 +3.178179324e+01 -3.9460e+00 -3.3648e+00 -2.0672e+00 -4.5123e-01 +2.3583e+00 -2.5539e+00 +1.8273e+00 -2.2095e+00 -2.8960e+00 +2.1690e+00 -2.4274e+00 +2.5186e+00 +2.5345e+00 -4.4738e-01 +1.4181e+00 -3.2879e+00 +5.4616e-01 +2.6821e+00 -2.4652e+00 +2.6034e+00
158 +9.932575903e+00 +9.932575903e+00 +2.874257590e+01 +2.874257590e+01 -2.8245e+00 -8.9185e-01 +1.3520e+00 -2.7016e+00 +2.1974e+00 -2.8164e+00 +1.4526e+00 -2.2049e+00 -2.5205e+00 +1.6552e+00 -2.7160e+00 +1.1663e+00 +3.1315e+00 -9.5531e-01 +2.5945e+00 -1.1583e+00 +2.6645e-01 +2.7392e+00 +1.8630e+00 +3.1810e-01
1068 +6.235976311e+00 +6.235976311e+00 +2.504597631e+01 +2.504597631e+01 -3.0402e+00 -7.5991e-01 +1.5318e+00 -2.3646e+00 +2.1745e+00 -2.8291e+00 +1.5943e+00 -2.3750e+00 -2.5310e+00 +1.5516e+00 -2.6878e+00 +1.0628e+00 +2.9930e+00 -8.9054e-01 +2.8314e+00 -1.2800e+00 -1.1245e-01 +2.6803e+00 +1.6650e+00 +1.9873e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.862417045e+01 +4.862417045e+01 +3.217741704e+02 +3.217741704e+02 -4.6765e-02 +2.2038e+00 +7.6215e-01 +1.5482e+00 +1.2390e+00 -2.0842e+00 -3.8756e+00 +2.0101e+00 -3.3620e+00 -6.4434e-01 -1.2058e+00 +2.3560e+00 +3.0459e+00 +3.0406e-01 -1.9717e+00 -2.0689e-01 +3.0157e+00 +3.0216e+00 +2.2550e+00 -1.4275e+00
11 +2.852961216e+01 +2.852961216e+01 +3.016796122e+02 +3.016796122e+02 +1.0169e-01 +1.4629e+00 -1.3904e+00 -1.0038e+00 +1.6479e+00 -1.8842e+00 +1.4513e+00 -1.9426e+00 +2.4417e+00 +1.7145e-01 +3.9034e+00 +3.5397e+00 -1.6164e+00 -2.6388e+00 +6.2084e-01 -3.2197e-02 +3.5657e+00 +2.2498e+00 +3.5748e-01 -2.8254e+00
26 +2.486027606e+01 +2.486027606e+01 +2.980102761e+02 +2.980102761e+02 -1.5640e+00 -2.2090e-01 -7.9461e-01 +3.8982e+00 +3.4012e-01 +9.1858e-02 -1.3512e+00 +7.9352e-01 -3.2357e-01 +1.4461e-01 +2.5700e+00 -3.5751e+00 -1.1227e+00 -3.0664e+00 +1.1314e+00 +2.2199e-01 +3.2965e+00 -8.9960e-01 -2.5592e+00 -2.1838e+00
