% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.166364220e+02 +4.166364220e+02 +4.074264220e+02 +4.074264220e+02 -3.7406e+00 -4.4135e+00 -2.2030e+00 +2.7706e+00 +2.1610e+00 +3.7129e-01 +4.6118e+00 -3.7513e+00 +3.9136e+00 -4.1645e-01 -2.8918e+00 +2.0601e+00 +2.7208e+00 +3.2786e+00 +3.3898e+00 +4.1984e+00 -1.0609e+00 +4.2722e+00 +2.7878e-02 -3.0278e+00
3 +3.180971091e+02 +3.180971091e+02 +3.088871091e+02 +3.088871091e+02 -2.1459e+00 -4.7885e+00 -8.1596e-01 -1.3451e+00 +1.0534e+00 -4.3874e+00 +4.8559e+00 +1.7326e+00 +4.2739e+00 +4.6295e+00 -2.2068e+00 -4.8286e+00 +5.1403e-01 -1.2612e+00 -4.0609e+00 -1.2836e+00 +4.0282e+00 -2.4789e-01 -6.4963e-01 +6.1673e-01
106 +2.367861415e+02 +2.367861415e+02 +2.275761415e+02 +2.275761415e+02 +6.5311e-01 -4.3497e+00 -2.4508e+00 -4.3873e+00 -4.6579e+00 -1.2556e+00 +1.5898e+00 +1.0267e-01 +3.7022e+00 +1.0621e+00 -3.6636e+00 +4.3512e+00 -6.5396e-01 +1.6943e+00 -4.9275e+00 -3.0305e-01 +4.4175e+00 +3.4296e+00 -3.7045e+00 +4.0405e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.323119253e+02 +3.323119253e+02 +9.883019253e+02 +9.883019253e+02 +4.7166e+00 +1.7116e+00 +4.1031e+00 +2.2044e+00 -4.7113e+00 +1.1542e-01 +2.4393e+00 -4.0770e+00 +3.9420e+00 -2.5323e+00 -1.6517e+00 -3.3536e+00 -2.9300e+00 -4.2836e+00 +3.6993e+00 +1.1170e+00 -6.6585e-01 -1.8240e-01 +8.7635e-01 +4.5450e+00
60 +2.481756336e+02 +2.481756336e+02 +9.041656336e+02 +9.041656336e+02 +3.5831e+00 -9.1888e-01 +4.6466e+00 -3.0179e+00 +4.6192e-02 -4.3593e+00 +1.8196e+00 +2.7380e+00 -2.2291e+00 -1.7505e+00 +2.8122e+00 +3.2688e+00 +4.3226e+00 -7.3946e-02 +3.8853e+00 -2.3299e+00 -4.6421e-01 -1.4330e+00 +4.8435e+00 +3.0172e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.460077844e+02 +4.460077844e+02 +5.127177844e+02 +5.127177844e+02 -3.4778e+00 -2.9606e-01 +4.3134e+00 +3.4968e+00 -1.4449e-01 +2.8110e+00 +1.8949e+00 +4.8619e-01 +2.6689e+00 +4.6316e+00 +4.1889e+00 +1.2716e+00 +5.4244e-01 -3.3888e+00 +4.1730e-01 -1.5341e+00 -2.2865e+00 +1.8995e+00 -1.5094e+00 +1.7897e+00
3 +3.963508585e+02 +3.963508585e+02 +4.630608585e+02 +4.630608585e+02 +1.3366e+00 -2.4171e+00 -1.4262e+00 +4.6068e+00 -4.2804e+00 +4.7737e+00 +3.3353e+00 -3.6205e+00 -2.1245e+00 +2.4989e-01 -1.4867e+00 +3.8701e+00 +5.2668e-01 -6.2558e-01 +1.8774e+00 +5.3123e-01 -4.0224e-01 +1.1275e+00 +9.1511e-01 +6.7258e-01
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.187824078e+02 +5.187824078e+02 +1.460452408e+03 +1.460452408e+03 -4.2842e-02 +1.2120e+00 +4.6685e+00 +5.8433e-01 +2.6771e+00 +3.9232e+00 -9.0436e-01 -2.2527e+00 -4.5279e+00 -2.2239e+00 +3.6965e-02 +1.8519e+00 +1.8005e+00 +9.9004e-02 -4.9510e+00 -2.7315e+00 +1.6630e+00 -4.9089e-01 -1.5336e+00 -4.1376e+00
3 +3.676180395e+02 +3.676180395e+02 +1.309288039e+03 +1.309288039e+03 +3.5833e+00 +1.7923e+00 +2.2764e+00 -4.3053e+00 +2.6541e-01 -1.1589e+00 -1.9069e-01 +3.4946e+00 -4.9660e+00 -4.9925e+00 -1.4021e+00 -2.6151e+00 -4.8898e+00 -1.9278e+00 +1.1873e+00 +7.4629e-01 +1.2935e+00 +4.2738e+00 -2.2390e+00 +1.3458e+00
46 +2.296044040e+02 +2.296044040e+02 +1.171274404e+03 +1.171274404e+03 +1.9155e+00 -4.2620e+00 -4.7624e+00 +1.3364e+00 +4.6119e+00 -2.9744e+00 -1.3054e+00 -1.4421e+00 +1.0809e+00 -4.8468e+00 +9.4155e-01 +4.8846e+00 -4.9380e+00 +1.2871e+00 +4.8580e+00 +3.7726e+00 -4.7551e+00 +4.3355e+00 +2.4251e+00 -2.5296e+00
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.616756353e+02 +3.616756353e+02 +3.242256353e+02 +3.242256353e+02 +2.6352e+00 +3.1740e-01 -6.9504e-01 -1.3118e+00 +2.7148e+00 +4.7032e+00 +1.8791e+00 +1.4235e+00 +4.9368e+00 +3.6461e+00 +6.6777e-01 -2.0958e+00 +7.9101e-01 +2.0760e-01 +5.7576e-01 +2.7498e+00 +3.9843e+00 -6.1515e-01 +1.3961e+00 -1.5139e+00
% function evaluation | noise-free fitness - Fopt (-4.450500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.932837098e+02 +3.932837098e+02 -5.176629022e+01 -5.176629022e+01 -1.6816e+00 -8.4522e-01 +2.8101e+00 +4.3247e+00 -2.4329e+00 +3.5535e+00 -3.0107e+00 +1.7101e+00 +4.7211e+00 +3.8079e+00 -3.6960e+00 +1.3176e+00 +1.7335e+00 -1.9068e+00 +2.0000e+00 +3.8859e+00 +1.2183e+00 -4.9466e+00 +1.7809e+00 -4.7563e+00
26 +2.507882140e+02 +2.507882140e+02 -1.942617860e+02 -1.942617860e+02 +1.1808e+00 -3.7136e+00 +2.2774e+00 -2.5409e+00 -3.9222e+00 +4.2741e+00 +2.2857e+00 -4.8060e+00 +2.1058e+00 +2.2260e+00 +3.1305e+00 +3.4268e+00 -1.4404e+00 +3.2018e+00 +3.1530e-01 -8.8828e-01 -2.9804e+00 -3.4143e-01 +3.1822e+00 +4.8206e+00
% function evaluation | noise-free fitness - Fopt (9.513200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.112334634e+02 +3.112334634e+02 +1.262553463e+03 +1.262553463e+03 -1.7479e+00 +3.5434e+00 +4.9455e+00 +4.3102e+00 -1.7509e+00 +2.8101e+00 -7.9819e-01 +2.4326e+00 -4.9167e+00 +1.9777e+00 +3.5866e-01 +3.2626e+00 -2.2972e+00 +3.3029e+00 -3.6749e+00 +1.2670e+00 -2.3457e+00 -4.5440e+00 -4.0607e+00 +9.4356e-01
% function evaluation | noise-free fitness - Fopt (-1.703300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.909808313e+02 +3.909808313e+02 +2.206508313e+02 +2.206508313e+02 -1.6341e+00 -1.2883e+00 +3.9965e+00 +4.8051e+00 -9.9150e-01 +1.7535e+00 -4.1390e+00 +5.2338e-01 +4.6955e+00 -2.5036e-01 +9.7974e-01 +3.5598e+00 -2.5259e+00 +4.0930e+00 -3.9017e-01 -3.3660e+00 +2.2679e+00 +2.6638e+00 +4.4193e+00 +3.3029e+00
% function evaluation | noise-free fitness - Fopt (4.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.701850861e+02 +3.701850861e+02 +4.115450861e+02 +4.115450861e+02 +3.5040e+00 +8.8288e-01 -4.8974e+00 +1.2691e+00 +3.1211e+00 +6.5475e-01 +2.9413e+00 -4.2387e+00 -3.8043e+00 +3.5813e+00 +1.8490e+00 +4.5754e+00 -2.4519e+00 -1.6378e+00 -1.4077e-01 -1.4393e+00 +2.0338e+00 +2.5743e+00 -3.1342e+00 -3.3220e+00
105 +2.307281037e+02 +2.307281037e+02 +2.720881037e+02 +2.720881037e+02 -1.9432e+00 +1.1538e+00 -6.7654e-01 +3.9748e+00 -2.1206e+00 +3.8489e-01 -4.3154e+00 +4.4036e+00 +2.4057e-01 -1.7400e-01 -1.3053e+00 -4.1196e+00 +3.4699e+00 +2.8383e+00 -4.8536e+00 +2.1337e-01 +2.0513e+00 +4.3543e-01 +3.7317e+00 -4.7607e+00
% function evaluation | noise-free fitness - Fopt (2.583700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
