% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.021492227e+01 +8.021492227e+01 +1.515649223e+02 +1.515649223e+02 -4.8888e+00 +3.3350e+00 -2.3680e+00 +2.3274e+00 +4.7928e+00 -1.2185e+00 -9.3713e-02 +9.9945e-01 +3.1738e-01 -2.9795e-01 +5.9223e-02 +2.1268e+00 +4.5655e+00 -3.0811e+00 -3.7009e+00 +3.1643e+00 -4.0323e+00 +4.2965e-01 +2.4393e+00 -1.6830e+00
3 +5.941484405e+01 +5.941484405e+01 +1.307648440e+02 +1.307648440e+02 -3.9434e+00 -1.4071e+00 +3.8754e-01 -3.1202e-03 -1.7468e+00 -4.7060e+00 -2.9685e+00 +4.5632e+00 -7.4968e-01 -5.0215e-01 -4.2891e+00 -1.9584e+00 -6.5720e-01 -2.5242e+00 +2.5908e+00 -3.3112e+00 -3.9490e+00 +4.6141e-01 -3.0630e+00 -4.9547e+00
96 +2.741462714e+01 +2.741462714e+01 +9.876462714e+01 +9.876462714e+01 +6.0378e-01 +3.1895e+00 -3.2832e+00 -2.1361e+00 +3.4983e+00 -4.2919e+00 +1.5169e+00 +4.2474e+00 +1.8004e-01 +3.6455e+00 -3.0534e+00 -3.0565e+00 +2.6032e+00 -4.5958e-01 -3.9760e+00 -2.8707e+00 +4.4522e+00 -1.8857e+00 -1.2209e+00 +1.3594e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.143230408e+01 +8.143230408e+01 -2.737876959e+02 -2.737876959e+02 +4.2757e+00 +1.8512e+00 -1.9499e+00 -3.6336e+00 +2.7929e+00 +3.7209e+00 -5.7333e-01 +1.2523e+00 +1.3741e+00 -4.3938e+00 -4.4213e+00 -3.5696e+00 +2.1006e+00 +8.6179e-01 -2.8516e+00 -9.7880e-01 +4.1969e+00 -2.7187e+00 +4.5925e+00 -4.0776e+00
5 +5.608451427e+01 +5.608451427e+01 -2.991354857e+02 -2.991354857e+02 -3.1339e+00 +1.0469e+00 +4.5727e+00 -9.8239e-01 -2.6238e+00 -3.0603e+00 -4.5126e-01 +2.0222e+00 -6.8019e-01 +3.5069e+00 -1.1991e+00 -9.1076e-01 -7.6077e-01 -4.9495e+00 -4.0433e+00 +4.4754e+00 +6.6325e-01 -1.5277e+00 -1.9698e+00 +1.8274e+00
26 +2.588297427e+01 +2.588297427e+01 -3.293370257e+02 -3.293370257e+02 -2.5510e+00 +1.7605e+00 +4.0130e+00 -1.3377e-01 -4.7006e-01 +1.2267e+00 +3.1602e+00 +3.2993e+00 -9.1643e-01 +2.2603e+00 +2.3367e+00 +2.2326e+00 -4.5920e+00 +3.4321e+00 -4.7145e+00 +2.9041e+00 +3.1391e+00 -1.4095e+00 +2.5603e+00 -3.9821e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.073382692e+02 +1.073382692e+02 +2.065082692e+02 +2.065082692e+02 -7.7437e-01 +2.2634e-01 -2.8845e+00 -3.0520e+00 -1.5786e+00 +4.8787e+00 +5.6779e-01 -1.1519e+00 +1.2510e-01 -3.4016e+00 +2.1126e+00 +1.4062e+00 -4.8949e+00 -3.4013e+00 -4.7076e-01 +2.9047e+00 +3.3966e+00 +3.6353e+00 -1.9396e+00 +2.3983e+00
2 +7.088058526e+01 +7.088058526e+01 +1.700505853e+02 +1.700505853e+02 -3.0318e+00 -3.5962e+00 +8.6347e-01 +4.0945e+00 -4.9835e-01 -3.1749e+00 -1.0609e+00 -3.8615e-01 +1.1658e+00 +4.6299e+00 -4.2545e+00 +4.9267e-01 +1.6154e+00 +1.3954e+00 -4.6976e+00 +2.7213e+00 -3.4279e+00 +1.1541e+00 -3.4751e+00 +4.1938e+00
