% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.331869390e+02 +7.331869390e+02 +1.733186939e+03 +1.733186939e+03 -1.0169e+00 +2.4211e+00 +1.9709e+00 -1.8725e+00 +3.8850e+00 -3.9219e+00 +2.6165e+00 -3.8296e+00 +1.5588e+00 +1.3712e+00 -1.7975e+00 +7.4964e-01 -2.4984e+00 +3.1567e+00 -1.7227e+00 +3.8361e+00 +3.3500e+00 -3.2504e+00 +8.5993e-01 +5.3189e-01
13 +5.774486223e+02 +5.774486223e+02 +1.577448622e+03 +1.577448622e+03 -2.9016e+00 +4.3771e-02 +3.3822e-01 +2.4498e+00 +2.6261e+00 -1.7102e+00 -1.9547e-01 +3.8319e+00 -2.1072e+00 -9.3914e-01 -3.8343e+00 -2.0240e+00 +8.9183e-01 -2.0267e+00 +3.6872e+00 +1.4997e+00 -5.7614e-01 +2.5900e+00 +2.6549e+00 +6.0655e-01
339 +3.909684448e+02 +3.909684448e+02 +1.390968445e+03 +1.390968445e+03 +9.4952e-02 +3.6506e+00 -7.9723e-01 +1.1391e+00 +3.0075e+00 -3.9133e-01 -1.4190e+00 +6.2263e-01 -3.7385e+00 +3.6283e-01 -2.8091e-01 -1.1693e+00 -1.9577e+00 -7.6340e-01 +1.8322e-01 +1.2703e+00 +6.5387e-01 -9.2620e-01 -1.3100e+00 +1.2748e+00
5402 +2.495436613e+02 +2.495436613e+02 +1.249543661e+03 +1.249543661e+03 +7.3597e-02 +3.1821e+00 -7.3904e-01 +1.5575e+00 +3.1426e+00 -2.9513e-01 -1.5315e+00 +4.2076e-01 -3.1720e+00 +8.6942e-02 -2.1353e-01 -1.2061e+00 -2.1450e+00 -7.7898e-01 +4.7038e-01 +1.2583e+00 +5.8439e-01 -1.0177e+00 -1.1093e+00 +1.1736e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.583171542e+03 +1.583171542e+03 +1.653201542e+03 +1.653201542e+03 +3.7220e+00 +3.4821e+00 -3.1280e+00 -1.5240e+00 -6.9002e-01 +1.3616e+00 -2.5603e+00 -3.0203e+00 -2.8222e+00 +3.2241e+00 -1.7917e+00 -3.4240e+00 +3.5393e+00 -2.3465e+00 -3.0298e+00 +2.1426e+00 -4.3187e-01 -7.2418e-01 -1.3812e+00 -2.1911e+00
9 +7.017464585e+02 +7.017464585e+02 +7.717764585e+02 +7.717764585e+02 -7.7207e-01 +1.8807e+00 -2.5999e+00 +6.0788e-01 +1.8318e-01 -4.8420e-01 +2.1320e+00 -2.1122e+00 -2.9035e+00 -5.6592e-01 +2.4559e+00 -3.4575e+00 +5.6414e-01 -8.8722e-01 -3.1752e+00 -3.3563e+00 +7.6689e-01 -1.0670e+00 -2.9911e+00 -5.5012e-01
25 +5.524290638e+02 +5.524290638e+02 +6.224590638e+02 +6.224590638e+02 +1.4585e-01 +1.9482e+00 -1.9418e+00 +5.7321e-01 +4.4726e-01 -1.3442e+00 +1.5200e+00 -1.3611e+00 -2.1330e+00 -7.4568e-01 +1.8317e+00 -3.4373e+00 -5.4529e-01 -2.7406e+00 -3.1195e+00 -2.2867e+00 +9.7276e-01 +2.4818e+00 -2.7275e+00 -3.2054e-01
216 +2.783012791e+02 +2.783012791e+02 +3.483312791e+02 +3.483312791e+02 -2.2158e+00 -2.9765e+00 -2.5259e+00 -1.6818e+00 -2.1802e+00 -2.9742e+00 -3.4310e-01 +1.9317e+00 -2.1490e+00 -2.8964e+00 +4.3414e-02 -1.0826e+00 -7.1552e-02 -1.2767e+00 -5.2788e-01 -2.9648e+00 +2.9297e+00 +9.2933e-01 -2.9537e+00 +1.7508e+00
476 +2.446578157e+02 +2.446578157e+02 +3.146878157e+02 +3.146878157e+02 -2.2324e+00 -2.9732e+00 -2.5088e+00 -1.8215e+00 -2.1684e+00 -2.9950e+00 -3.3032e-01 +1.8079e+00 -2.1355e+00 -2.7405e+00 -4.3949e-02 -9.5029e-01 -4.8866e-02 -1.2866e+00 -4.9668e-01 -3.0218e+00 +2.8765e+00 +1.0351e+00 -2.8750e+00 +1.7501e+00
