% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.909825828e+01 +4.909825828e+01 -5.345174172e+01 -5.345174172e+01 +3.4033e+00 +2.4538e+00 -1.8261e+00 -9.6547e-01 -2.9329e+00 -2.4857e+00 +7.4310e-01 -4.4062e-01 +3.8726e+00 +2.5211e+00 +3.2030e-01 -2.7653e-02 +1.0691e+00 -1.0861e+00 -2.4088e+00 +3.9244e+00 +2.8683e+00 +3.5479e+00 -3.3786e+00 +3.2361e+00
2 +3.300461183e+01 +3.300461183e+01 -6.954538817e+01 -6.954538817e+01 -2.2972e+00 -1.1890e+00 +1.1921e+00 -1.8351e+00 -3.1923e+00 +2.7266e+00 -2.4344e+00 -1.5413e+00 -3.1032e+00 -1.2823e+00 -1.3982e+00 -5.4072e-02 +3.5433e+00 -2.6893e+00 -2.3041e+00 -5.3336e-01 -1.8211e+00 +2.9619e+00 -2.7242e+00 -3.5504e+00
4 +2.173062744e+01 +2.173062744e+01 -8.081937256e+01 -8.081937256e+01 -2.4143e+00 -2.1978e+00 +1.8702e-01 +2.0038e+00 -2.8111e+00 +2.7123e+00 -1.5843e+00 -2.1474e+00 +3.0662e+00 -1.4015e+00 +1.7670e+00 +1.9795e+00 -5.1751e-01 -8.5826e-01 +3.9132e-01 +3.4898e+00 +3.2228e-01 +1.7847e+00 +1.2594e+00 -1.6558e+00
22 +1.368255222e+01 +1.368255222e+01 -8.886744778e+01 -8.886744778e+01 +8.8573e-01 +1.0531e+00 +4.3073e-01 +1.6407e+00 -2.7197e+00 +1.3483e+00 -7.3213e-01 +2.0249e-01 +6.9340e-01 +5.7585e-01 +1.6657e+00 +2.7861e+00 -1.0943e+00 +2.7852e-01 +9.8289e-01 +7.6353e-01 +1.6718e+00 +1.2009e+00 +2.1260e+00 -4.0177e-01
249 +9.804006784e+00 +9.804006784e+00 -9.274599322e+01 -9.274599322e+01 +3.4636e-01 -1.5875e+00 -7.0715e-01 -1.0677e+00 -5.4420e-01 -1.0398e+00 +4.9232e-02 -8.9059e-01 +1.1880e-01 -2.1735e+00 +2.0409e+00 +1.7158e+00 -1.6213e+00 +1.5072e+00 +3.1011e-01 +2.3037e+00 -1.7898e+00 +1.4938e+00 -4.9889e-01 -8.8717e-01
1170 +6.138106690e+00 +6.138106690e+00 -9.641189331e+01 -9.641189331e+01 -1.9342e+00 -1.8450e+00 -1.4152e+00 -9.2330e-01 -4.2229e-01 -6.8872e-01 +7.7191e-01 -9.1656e-01 -9.3350e-01 +1.4100e+00 +1.8523e+00 +4.2383e-01 -1.7842e+00 +3.9014e-01 -2.9425e-01 +1.7125e+00 +1.7217e+00 +1.6129e+00 +1.5397e+00 -9.8511e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.763917569e+01 +4.763917569e+01 +1.193291757e+02 +1.193291757e+02 +3.0429e+00 -2.0737e-01 -2.7893e-01 +3.1092e+00 -2.4537e+00 -2.5280e+00 +3.4471e+00 +1.2176e+00 -1.6773e+00 +4.5140e-01 -3.6294e+00 -3.3932e+00 +3.3862e+00 +2.2326e+00 +3.3395e+00 -3.9218e+00 +1.9994e+00 +3.8191e+00 -1.9540e+00 +3.6258e+00
3 +3.129014634e+01 +3.129014634e+01 +1.029801463e+02 +1.029801463e+02 +6.0725e-01 +3.6131e+00 +1.2930e-02 -2.5035e+00 +1.4629e+00 +2.0683e+00 -2.0691e-01 -6.1242e-01 +3.9389e+00 -8.6443e-01 +2.0844e-01 -6.7463e-02 -3.6481e+00 -3.8838e+00 -2.3588e+00 +1.0852e+00 -3.1812e+00 -2.2764e-01 +3.6131e+00 -1.6898e-01
5 +2.339711530e+01 +2.339711530e+01 +9.508711530e+01 +9.508711530e+01 -3.8093e-01 +3.6383e-01 +1.3852e+00 +1.1633e+00 +1.4920e+00 +3.1827e+00 -2.2550e+00 +7.3183e-01 -1.6028e+00 +3.7807e+00 +2.0906e+00 -8.9145e-01 +1.2521e+00 -2.4816e+00 -2.0863e+00 -2.1227e+00 +3.5243e+00 -3.9741e+00 +1.9982e+00 +5.8701e-01
