% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.468092901e+07 +2.468092901e+07 +2.468071913e+07 +2.468071913e+07 +2.8760e+00 -4.2097e-01 -1.9680e+00 -3.1033e+00 -1.4776e-01 +8.7605e-02 -2.7730e+00 +3.4571e+00 -2.2807e+00 +4.4479e+00 -9.4098e-01 +1.6104e+00 -4.4517e+00 +4.3674e+00 -4.4911e-01 -1.7373e+00 +2.4342e+00 +4.6859e-01 -1.9569e+00 -2.4011e+00
6 +1.565018054e+07 +1.565018054e+07 +1.564997066e+07 +1.564997066e+07 +1.9245e+00 -1.2056e+00 -2.0667e+00 -3.3626e+00 +1.3037e+00 -4.2167e+00 +1.1301e+00 +1.5707e+00 +5.5735e-01 -3.4294e+00 -2.1806e-01 +4.6478e+00 -3.3683e+00 -2.0447e+00 +1.7403e-01 -1.6185e+00 +1.1994e-01 +2.5868e+00 -3.1719e+00 -1.7641e+00
13 +6.101325401e+06 +6.101325401e+06 +6.101115521e+06 +6.101115521e+06 -2.5637e+00 -3.1836e+00 +1.3112e+00 +2.0762e+00 -1.5288e+00 -8.1410e-01 -1.8371e+00 -3.8385e+00 +2.3606e+00 +3.0095e+00 -4.8404e+00 +1.6249e+00 -2.7558e+00 -4.5351e+00 +3.6260e+00 -1.6196e+00 -4.9966e+00 +1.2448e+00 +1.6212e-01 +2.0303e+00
52 +2.790635813e+06 +2.790635813e+06 +2.790425933e+06 +2.790425933e+06 +3.1979e+00 -4.9009e-01 -8.3134e-01 +4.4805e+00 -8.5871e-01 +3.9067e+00 -3.1325e-01 -3.8256e+00 +3.8281e+00 -1.0180e+00 -4.0041e+00 +4.0232e+00 +2.2080e+00 +4.8852e+00 -2.9480e+00 -2.7780e+00 -1.2039e+00 +3.9669e-01 -2.8236e+00 +2.1294e+00
74 +2.038418681e+06 +2.038418681e+06 +2.038208801e+06 +2.038208801e+06 -1.3757e+00 -4.8026e+00 +1.5418e+00 +1.0938e+00 +1.4071e+00 +1.2517e+00 +4.7565e+00 -9.5248e-01 -2.2958e-01 +1.6602e+00 -3.8964e+00 -1.2413e+00 +2.2892e+00 +1.2859e+00 -3.9964e+00 -2.0817e+00 -8.2464e-01 +2.8471e+00 -1.2251e+00 +1.5216e+00
93 +1.414034960e+06 +1.414034960e+06 +1.413825080e+06 +1.413825080e+06 -1.6989e+00 -9.8417e-01 -1.6597e+00 -1.3596e+00 -1.0060e+00 +3.2189e+00 -1.8584e+00 -9.9706e-01 -4.6410e+00 +2.2816e+00 +2.4228e+00 +3.8486e+00 -2.8904e+00 -3.4297e+00 -1.9668e+00 -4.0523e+00 -2.2351e+00 +3.2113e+00 -2.0215e+00 +2.9032e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.382371202e+07 +4.382371202e+07 +4.382361993e+07 +4.382361993e+07 +4.2668e-01 -5.0704e-01 +1.8894e+00 +4.6920e+00 -3.8983e+00 -1.6850e+00 -3.1533e+00 -4.3738e+00 -1.1475e+00 +4.0306e+00 -3.2214e+00 +2.1868e+00 +3.3660e+00 +3.6470e+00 +2.4278e+00 -3.6568e+00 +1.9289e+00 -4.3913e+00 +3.9322e+00 +3.3700e+00
2 +1.658528607e+07 +1.658528607e+07 +1.658519398e+07 +1.658519398e+07 -3.7693e+00 +2.2648e+00 -2.5925e+00 +1.8398e+00 -2.4112e+00 -4.3000e+00 +2.0129e+00 -2.5563e+00 -3.4434e+00 +4.1767e+00 +1.3332e+00 -4.6297e+00 +3.5804e+00 +2.9480e+00 +5.2068e-01 +2.6480e+00 +3.6983e+00 -7.4883e-01 +4.8818e+00 -1.5233e+00
3 +9.694679280e+06 +9.694679280e+06 +9.694587190e+06 +9.694587190e+06 -3.4885e+00 +3.7034e+00 +2.5361e+00 +1.1767e+00 -2.7741e+00 +1.0779e-01 -1.4119e+00 -4.1318e+00 +1.4178e+00 +4.1742e+00 +3.4197e+00 -2.2719e+00 -2.6974e+00 -2.1763e+00 +4.5372e+00 +8.6726e-01 +1.2157e-01 +6.5710e-01 -4.8853e-01 +5.3779e-01
17 +5.185928219e+06 +5.185928219e+06 +5.185836129e+06 +5.185836129e+06 +3.7328e+00 +1.9406e-01 +8.9186e-01 -2.7803e+00 +9.8167e-01 +6.7221e-01 -3.8349e+00 +4.6607e-01 -1.8630e+00 +3.2319e+00 -4.6412e+00 +1.8939e+00 +4.1191e+00 -3.1122e+00 -3.1719e+00 +1.0345e+00 -1.9061e+00 +3.5085e+00 +3.3497e+00 +1.1321e-01
35 +2.999007273e+06 +2.999007273e+06 +2.998915183e+06 +2.998915183e+06 -3.3434e+00 +3.3943e+00 +1.9161e+00 +4.0047e+00 +1.6593e+00 +4.1697e+00 +2.6820e+00 +2.4391e+00 -1.4756e+00 +3.6921e-01 -8.8279e-01 -4.5258e-01 -1.2565e+00 -4.7403e+00 -4.5275e+00 +2.5917e+00 -2.4753e+00 +3.8575e+00 +1.0589e+00 -1.8550e+00
177 +1.679687746e+06 +1.679687746e+06 +1.679595656e+06 +1.679595656e+06 -1.0536e+00 -5.5449e-01 +4.2840e+00 -1.9751e+00 +4.9879e+00 -3.3911e+00 -3.3712e+00 +8.5411e-01 +5.7128e-01 +1.8590e+00 +1.3358e+00 +5.6755e-01 -4.2155e+00 +2.6798e+00 -1.8966e+00 -2.3567e+00 -4.7882e+00 +3.7617e+00 +1.4595e+00 -9.6459e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
