% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.209130518e+07 +2.209130518e+07 +2.209109530e+07 +2.209109530e+07 +1.1837e-01 +3.7653e+00 -2.4647e+00 +2.1699e+00 +1.7179e+00 +1.3411e+00 -9.6173e-01 -3.3007e+00 -7.0600e-01 -2.3430e+00 +3.8597e+00 -2.7872e+00 -3.3964e+00 -2.3483e+00 +8.2757e-01 +3.1565e+00 -1.1068e+00 +3.2373e+00 +9.7792e-01 -1.7059e+00
2 +1.333498011e+07 +1.333498011e+07 +1.333477023e+07 +1.333477023e+07 -2.7544e+00 -2.9222e-01 +3.7040e+00 +3.5729e+00 +7.0184e-01 +8.2377e-01 -1.1743e+00 +1.4665e+00 -3.0808e+00 +1.3786e+00 -2.9735e+00 +2.9996e+00 -1.8690e+00 +3.0541e+00 +2.5543e+00 -2.3696e+00 -3.3733e+00 +3.4811e+00 +2.6256e+00 +1.2103e+00
5 +9.904869968e+06 +9.904869968e+06 +9.904660088e+06 +9.904660088e+06 -1.2983e+00 -1.0584e+00 +1.5844e+00 +3.7488e-01 +2.5329e+00 -2.2582e+00 +1.8362e+00 -9.3227e-01 +2.1190e+00 -1.5879e+00 +6.2731e-01 +2.0615e+00 +3.5399e+00 -3.6984e+00 +5.5309e-01 -5.2575e-02 +1.0423e+00 -1.5624e+00 -1.0505e+00 +8.5446e-01
12 +4.243551742e+06 +4.243551742e+06 +4.243341862e+06 +4.243341862e+06 -8.4268e-01 +2.7234e+00 -2.7220e+00 -3.2148e+00 +1.7607e+00 +2.8779e+00 -1.9242e+00 -3.5564e+00 -3.8922e+00 +1.1893e+00 -9.3288e-03 +7.2443e-02 -1.4615e+00 +2.9831e+00 +3.1871e+00 +1.0062e+00 -9.3168e-01 +2.7511e+00 -3.8130e+00 +1.4169e+00
65 +2.876442041e+06 +2.876442041e+06 +2.876232161e+06 +2.876232161e+06 -3.9171e+00 +8.4535e-01 +2.6907e+00 -1.7406e+00 -3.6495e+00 +1.2941e+00 +1.4457e+00 +4.7344e-01 +2.7901e+00 -3.1517e+00 +2.7161e+00 -4.5484e-01 -2.8838e+00 +3.2497e+00 +1.5916e+00 -2.5240e+00 -1.2638e+00 +1.9627e+00 -6.3944e-01 +2.1998e+00
94 +2.504744174e+06 +2.504744174e+06 +2.504534294e+06 +2.504534294e+06 -3.2802e+00 +1.3411e+00 +2.4560e+00 -1.2643e+00 +2.0919e+00 +2.2438e+00 -3.0493e-01 +4.5891e-01 +3.0021e+00 -1.6798e-01 +2.6861e+00 -3.5592e+00 -1.3412e+00 -7.2488e-01 +3.2455e+00 -8.1332e-01 -1.0803e+00 +1.4091e+00 -2.2480e+00 +2.0399e+00
985 +1.538691823e+06 +1.538691823e+06 +1.538481943e+06 +1.538481943e+06 -3.3365e+00 +6.3833e-01 +2.6190e+00 -1.6077e+00 +1.8280e+00 +2.1003e+00 +4.6633e-01 +6.6556e-01 +2.7881e+00 +4.2348e-03 +2.5198e+00 -1.1642e+00 -1.5022e+00 +2.6831e+00 +2.1246e+00 -1.8981e+00 -1.3956e+00 +2.0001e+00 -2.0291e+00 +1.9641e+00
2627 +9.728112394e+05 +9.728112394e+05 +9.726013594e+05 +9.726013594e+05 -3.4250e+00 +9.5291e-01 +2.8239e+00 -1.5405e+00 +1.9796e+00 +2.1196e+00 +5.4437e-01 +5.8032e-01 +3.2901e+00 -4.6278e-01 +2.5693e+00 -9.8720e-01 -1.4279e+00 +2.3599e+00 +1.7149e+00 -2.2579e+00 -1.8942e+00 +2.7173e+00 -2.4050e+00 +1.9352e+00
4861 +6.218060455e+05 +6.218060455e+05 +6.215961655e+05 +6.215961655e+05 -3.3432e+00 +8.8079e-01 +2.3245e+00 -1.8496e+00 +1.9055e+00 +2.3475e+00 +5.2515e-01 +6.1057e-01 +2.8980e+00 -4.7369e-01 +2.7087e+00 -8.3410e-01 -8.8969e-01 +1.9841e+00 +1.2169e+00 -2.6852e+00 -2.5790e+00 +3.0468e+00 -2.3370e+00 +1.8727e+00
6896 +3.946102535e+05 +3.946102535e+05 +3.944003735e+05 +3.944003735e+05 -3.6185e+00 +1.2238e+00 +2.0375e+00 -2.3121e+00 +2.2266e+00 +1.8976e+00 +4.3809e-01 +4.2665e-01 +2.9612e+00 -3.6964e-01 +2.6570e+00 -7.5764e-01 -5.8674e-01 +1.4526e+00 +4.1779e-01 -2.9496e+00 -2.9987e+00 +3.0277e+00 -2.3080e+00 +1.8721e+00
