% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.347850146e+04 +9.347850146e+04 +9.360233146e+04 +9.360233146e+04 -2.1087e+00 +2.9805e+00 +2.1949e+00 +6.8043e-01 -6.9150e-01 -2.1073e+00 +2.6980e+00 +2.2047e+00 +4.7353e-01 -6.7572e-01 +3.7053e+00 +2.5401e+00 +3.3261e+00 +1.0375e+00 -8.4181e-01 -1.7738e+00 +2.2564e+00 +9.2119e-01 +2.8708e-01 +2.5430e+00
5 +5.734111911e+04 +5.734111911e+04 +5.746494911e+04 +5.746494911e+04 -4.0496e-01 +1.4957e+00 -1.9612e+00 +1.4469e+00 +2.7205e+00 -1.4469e+00 +3.2612e+00 -1.5039e+00 +2.6977e+00 +2.5759e+00 -2.3017e-01 +9.1529e-01 +8.0706e-01 -3.2241e+00 +2.7158e+00 +7.4682e-01 -5.3847e-01 +4.4920e-02 -3.9387e-01 -3.5215e+00
13 +3.761256536e+04 +3.761256536e+04 +3.773639536e+04 +3.773639536e+04 -1.4148e+00 -1.0878e+00 -9.8331e-01 -1.9240e+00 +1.5836e+00 +2.8193e+00 -5.3042e-02 -8.8032e-01 -8.6666e-01 +1.6682e+00 +5.4264e-01 -1.7967e+00 -9.8044e-01 +3.4459e+00 +4.4593e-01 +1.0659e+00 +1.8329e+00 +2.3071e+00 +1.5551e+00 +9.4556e-01
31 +2.169556756e+04 +2.169556756e+04 +2.181939756e+04 +2.181939756e+04 -1.8356e+00 -5.6408e-01 -9.2194e-01 +1.2627e+00 -1.0595e+00 +8.4231e-02 +2.0267e-01 -5.3906e-02 -1.4871e+00 +2.6950e+00 +6.7114e-01 +1.6036e-01 +1.5122e+00 +1.2241e+00 -2.3760e+00 +1.1366e+00 +5.5233e-01 +9.5283e-01 +1.0698e+00 +4.6308e-02
75 +1.060196987e+04 +1.060196987e+04 +1.072579987e+04 +1.072579987e+04 +2.0749e+00 +8.6077e-01 +8.1665e-01 +2.5432e+00 -1.7960e+00 +1.3495e+00 +1.3949e+00 -1.7220e-01 +4.9109e-01 -8.3443e-01 -1.1105e+00 +1.4936e+00 +3.2879e-01 -1.8191e+00 +1.4614e+00 +2.7442e-01 -6.9773e-01 +6.8462e-01 +1.2564e-01 +8.5317e-01
206 +6.803368300e+03 +6.803368300e+03 +6.927198300e+03 +6.927198300e+03 +9.2735e-01 +1.8975e+00 +1.4580e+00 +1.9108e+00 -1.2876e+00 +9.2502e-01 +1.8210e+00 +6.2516e-02 -1.2407e-01 -6.1052e-01 -2.1896e+00 +1.3290e+00 +4.2780e-02 -7.3775e-01 +1.4076e+00 +2.8429e-01 -1.9123e+00 +6.3791e-01 +7.9094e-01 +2.2017e-01
463 +5.947906928e+03 +5.947906928e+03 +6.071736928e+03 +6.071736928e+03 +8.7250e-01 +1.9934e+00 +1.3326e+00 +1.8611e+00 -1.2274e+00 +9.4668e-01 +1.8240e+00 +1.5065e-03 -2.4893e-01 -6.0906e-01 -2.1165e+00 +1.3002e+00 +1.6651e-01 -8.4889e-01 +1.3243e+00 +2.0901e-01 -1.8377e+00 +6.6225e-01 +7.9690e-01 +2.3834e-01
1244 +3.910699486e+03 +3.910699486e+03 +4.034529486e+03 +4.034529486e+03 +8.8695e-01 +1.9314e+00 +1.1340e+00 +1.7790e+00 -8.6178e-01 +7.3966e-01 +1.4326e+00 -7.3016e-02 -2.9082e-01 -5.9872e-01 -2.0313e+00 +1.0840e+00 +2.1554e-01 -8.2452e-01 +1.1227e+00 +3.7040e-02 -1.7088e+00 +4.8239e-01 +7.8083e-01 +1.3626e-01
2102 +2.428351747e+03 +2.428351747e+03 +2.552181747e+03 +2.552181747e+03 +8.0013e-01 +1.8116e+00 +1.1815e+00 +1.5958e+00 -8.4075e-01 +1.1544e+00 +1.2691e+00 -2.2473e-01 -4.1836e-01 -2.8185e-01 -1.7122e+00 +8.8296e-01 +1.7349e-01 -1.1091e+00 +1.0479e+00 +1.2988e-01 -1.6142e+00 +6.5223e-01 +4.6488e-01 -2.1126e-01
3106 +1.567216586e+03 +1.567216586e+03 +1.691046586e+03 +1.691046586e+03 +9.3033e-01 +1.7609e+00 +9.7044e-01 +1.3256e+00 -1.0953e+00 +1.1623e+00 +1.2764e+00 -1.8088e-01 -3.6704e-01 -1.3825e-01 -1.5822e+00 +5.9684e-01 +2.6107e-01 -1.0582e+00 +8.4693e-01 +6.7515e-02 -1.5550e+00 +6.2391e-01 +3.0915e-01 -2.3074e-01
4004 +9.337350083e+02 +9.337350083e+02 +1.057565008e+03 +1.057565008e+03 +8.9573e-01 +1.6019e+00 +7.0058e-01 +1.2324e+00 -9.7554e-01 +1.1463e+00 +1.5270e+00 +3.2916e-02 -5.2985e-01 -1.8921e-02 -1.3032e+00 +2.8034e-01 +3.2474e-01 -1.0977e+00 +6.5602e-01 -9.6142e-02 -1.4835e+00 +5.2362e-01 +2.7379e-01 -4.6147e-01
4879 +6.220690193e+02 +6.220690193e+02 +7.458990193e+02 +7.458990193e+02 +7.0708e-01 +1.3888e+00 +5.8326e-01 +9.8898e-01 -1.0771e+00 +1.1014e+00 +1.7283e+00 +6.5986e-02 -6.1983e-01 -3.8147e-03 -1.2216e+00 +9.8098e-02 +4.1412e-01 -8.7321e-01 +6.8751e-01 -1.0409e-01 -1.4456e+00 +5.4824e-01 +2.0214e-01 -4.9319e-01
6111 +3.938727133e+02 +3.938727133e+02 +5.177027133e+02 +5.177027133e+02 +3.4760e-01 +1.3255e+00 +3.5305e-01 +7.3238e-01 -7.5998e-01 +9.0080e-01 +1.5409e+00 -8.8527e-03 -5.5367e-01 -4.6309e-01 -9.5680e-01 +3.4874e-02 +2.1615e-01 -6.6543e-01 +6.5437e-01 -8.4602e-02 -1.4455e+00 +4.6839e-01 -4.0959e-02 -4.1292e-01
