% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.281395710e+05 +4.281395710e+05 +4.282887210e+05 +4.282887210e+05 +2.0633e+00 +1.8286e+00 -2.4525e+00 -3.2155e+00 +3.5323e+00 +1.4300e+00 +3.7581e+00 +2.7588e+00 -2.3807e-01 +2.6659e+00 -3.6973e+00 -2.7844e+00 +1.5933e+00 +8.9755e-01 +4.6758e-01 -1.4002e+00 +1.8224e+00 -8.8467e-01 -1.8038e+00 -8.0370e-01
2 +2.340161277e+05 +2.340161277e+05 +2.341652777e+05 +2.341652777e+05 -1.6388e+00 +3.7789e+00 +1.1718e+00 -2.5517e+00 -1.0647e-01 -1.8373e+00 +2.7437e+00 +2.1573e+00 +7.7293e-01 -2.2853e+00 -3.5905e+00 +2.1966e+00 +2.1407e+00 +3.4860e+00 -3.2623e+00 +1.0474e+00 +4.5062e-01 +8.2147e-01 -2.3244e+00 +1.1865e+00
3 +3.934400818e+04 +3.934400818e+04 +3.949315818e+04 +3.949315818e+04 -1.3265e+00 +8.7719e-01 -1.3427e+00 -1.0272e+00 -4.3218e-01 -1.8087e+00 +1.4319e-01 -3.3543e+00 -9.5977e-01 -2.0454e+00 +1.9353e-01 +2.4354e+00 -1.2830e+00 +5.9969e-01 -1.8653e+00 -6.7639e-01 -8.3631e-01 +9.1607e-01 -1.8069e+00 -3.7716e+00
202 +2.432432342e+04 +2.432432342e+04 +2.447347342e+04 +2.447347342e+04 -4.9856e-01 +4.2740e-01 -1.5733e+00 +8.9777e-01 -1.1292e+00 -7.6862e-01 -4.4722e-01 +9.2004e-02 -1.5543e+00 +7.4006e-01 -1.4565e+00 +1.7403e-02 -1.2835e+00 -3.4074e+00 +2.1443e-01 +8.5882e-01 +1.4783e-01 +1.1033e+00 -7.2059e-02 +1.5442e+00
345 +1.574226855e+04 +1.574226855e+04 +1.589141855e+04 +1.589141855e+04 -4.4620e-01 -7.4260e-01 -1.5189e+00 -4.2914e-01 -1.4305e+00 -5.9880e-01 -2.3658e-01 +8.0267e-01 -7.7247e-01 +1.1352e+00 -1.5337e+00 -4.0707e-02 +6.8483e-02 -3.9974e-01 +1.1961e+00 +5.8066e-01 -4.1141e-01 +5.4233e-02 -5.2280e-01 +1.2505e+00
1119 +9.741840301e+03 +9.741840301e+03 +9.890990301e+03 +9.890990301e+03 -3.3562e-01 -8.7731e-01 -1.5388e+00 -5.2480e-01 -1.3508e+00 -6.3764e-01 -4.3599e-01 +1.6869e-01 -6.6272e-01 +1.0629e+00 -1.4870e+00 +3.8989e-02 +1.4147e-01 -3.0826e-01 +9.4206e-01 +5.6866e-01 -3.5446e-01 +5.9414e-02 -5.7916e-01 +1.1113e+00
1975 +5.657362115e+03 +5.657362115e+03 +5.806512115e+03 +5.806512115e+03 -1.0308e-01 -8.8333e-01 -1.6789e+00 -5.3913e-01 -1.7561e+00 -5.2618e-01 -1.8933e-01 -1.0296e-01 -5.8649e-01 +9.9880e-01 -1.3985e+00 +9.1615e-02 +2.0995e-01 -3.2577e-01 +6.3730e-01 +3.5339e-01 -1.6021e-01 +2.3524e-01 -7.6463e-01 +9.9806e-01
2639 +3.948017695e+03 +3.948017695e+03 +4.097167695e+03 +4.097167695e+03 -9.1263e-02 -1.1189e+00 -1.5464e+00 -6.7364e-01 -1.9111e+00 -5.6525e-01 -3.0984e-01 -3.1722e-01 -4.7923e-01 +8.8577e-01 -1.5115e+00 +1.0596e-01 +1.7154e-01 -2.7239e-01 +4.0993e-01 +3.5498e-01 +4.3043e-02 +2.3631e-01 -6.7017e-01 +9.0174e-01
3499 +2.494477448e+03 +2.494477448e+03 +2.643627448e+03 +2.643627448e+03 -3.2821e-01 -9.8811e-01 -1.7238e+00 -3.2092e-01 -2.0634e+00 -5.0186e-01 -1.4551e-01 -7.1226e-01 -6.6558e-01 +7.9280e-01 -1.6124e+00 +1.8852e-01 +1.9638e-01 -3.0048e-01 +7.1872e-02 -8.1946e-02 +3.2184e-02 +3.3408e-01 -7.9364e-01 +1.0408e+00
4157 +1.581736045e+03 +1.581736045e+03 +1.730886045e+03 +1.730886045e+03 -2.8965e-01 -1.0159e+00 -1.5686e+00 -2.8610e-01 -2.2933e+00 -7.2621e-01 -3.0580e-01 -7.5876e-01 -7.3106e-01 +5.2612e-01 -1.4505e+00 +3.1566e-01 +5.2710e-01 -1.6977e-01 -9.8040e-02 -1.1980e-01 -1.9185e-01 +6.1138e-01 -6.8725e-01 +9.2580e-01
