% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.168951818e+02 +7.168951818e+02 +1.716895182e+03 +1.716895182e+03 -3.7716e+00 +1.6761e+00 +2.1671e+00 -5.0883e-01 +1.1105e-01 -1.4699e+00 +5.3154e-02 +8.2968e-01 -3.8927e+00 -7.1335e-01 +1.2760e-01 -4.4496e+00 +3.4984e+00 -1.1081e+00 +1.4243e+00 -1.2727e+00 +3.6393e+00 +4.3790e+00 +4.6684e-01 +1.0479e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.859592585e+03 +3.859592585e+03 +3.929622585e+03 +3.929622585e+03 +3.4466e+00 -6.6300e-01 +3.5190e+00 +3.8540e+00 -4.0832e+00 +1.1755e+00 +2.1659e+00 -4.6813e+00 +1.1947e+00 +1.8544e+00 +3.2753e+00 +1.7580e-02 -4.3631e+00 +2.1044e+00 +4.8163e+00 -9.0009e-01 +4.7327e+00 +6.7928e-01 +4.1919e+00 -4.4460e+00
2 +1.832583866e+03 +1.832583866e+03 +1.902613866e+03 +1.902613866e+03 -3.0952e+00 -1.7934e-01 -3.5353e+00 -1.1222e+00 +2.8024e+00 -1.2185e+00 +3.4269e+00 -3.4240e+00 +4.1060e+00 -2.3098e+00 +1.1933e+00 +5.5586e-01 +6.4183e-01 +6.8256e-02 -1.3588e+00 -1.4598e+00 +1.2270e+00 +2.9982e+00 +4.0888e+00 +1.5108e+00
7 +1.405970572e+03 +1.405970572e+03 +1.476000572e+03 +1.476000572e+03 +2.4515e+00 +2.9297e+00 +1.4138e+00 -1.5874e+00 -1.2879e+00 -9.7512e-01 -2.2237e+00 -2.2180e+00 +1.0284e+00 -8.4019e-01 -8.5115e-01 +2.8963e+00 -6.8952e-01 +4.4497e+00 -4.0023e-01 -7.6812e-01 -1.2934e+00 +4.5824e+00 -5.8389e-01 +3.6667e-01
17 +9.011760358e+02 +9.011760358e+02 +9.712060358e+02 +9.712060358e+02 -4.8551e+00 -3.4021e+00 -3.1709e+00 +1.2340e+00 +4.5212e-01 -2.3679e+00 -1.4896e+00 -4.7227e+00 +1.6294e+00 -3.9250e+00 +3.7291e-01 +1.6017e-02 -2.2949e+00 +4.4581e-01 -4.3018e+00 -1.0432e+00 -6.3717e-01 -4.5584e-01 -4.3967e+00 +1.7651e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.264059434e+03 +2.264059434e+03 +2.215839434e+03 +2.215839434e+03 +8.2383e-01 +4.7435e+00 +1.1905e-01 -3.8455e+00 +1.9898e+00 +4.7111e+00 -1.4540e+00 -1.5259e+00 -2.3136e+00 +6.1474e-01 -3.3741e+00 -4.8360e+00 -1.3847e+00 -5.1660e-01 +3.2007e+00 +2.9909e+00 -1.0583e+00 -3.5879e+00 -4.0145e+00 +2.8865e+00
9 +9.053287833e+02 +9.053287833e+02 +8.571087833e+02 +8.571087833e+02 -4.9860e+00 -3.7807e+00 +3.7305e+00 -2.6408e-01 -2.8797e+00 -2.1300e+00 -7.1257e-01 +1.2583e+00 -3.7124e+00 -1.1353e+00 -7.3933e-02 -2.0008e+00 +2.4909e+00 -1.1426e+00 -5.9734e-01 -2.9055e+00 -3.0418e+00 +6.9898e-01 -9.1872e-01 -4.0092e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.434362752e+03 +1.434362752e+03 +1.459832752e+03 +1.459832752e+03 -3.2757e+00 +3.3509e+00 -3.1842e+00 -4.2577e+00 +2.5945e+00 +4.0412e+00 -8.0027e-01 -2.3549e-01 +1.6835e+00 -2.2981e+00 +3.2293e+00 -3.0566e+00 -4.8007e+00 +3.9050e+00 +3.5020e+00 -1.2704e+00 +3.7255e+00 -1.4981e+00 +4.5486e-01 -3.7053e+00
11 +6.943872492e+02 +6.943872492e+02 +7.198572492e+02 +7.198572492e+02 -1.4464e+00 -3.8796e+00 +1.5745e+00 +2.1243e+00 -1.8141e+00 -3.5881e+00 +7.6202e-01 +2.8276e+00 -1.1418e+00 -2.2110e+00 +1.5592e-01 -2.4770e+00 -2.6478e+00 +2.4249e+00 +1.8697e+00 -4.4130e+00 -1.4185e+00 -9.2519e-01 +5.5078e-01 -4.6277e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.546749103e+03 +2.546749103e+03 +2.445939103e+03 +2.445939103e+03 +4.3535e+00 +1.7528e+00 -3.6380e-01 +4.2364e+00 -1.2272e+00 +4.0208e+00 -4.8766e+00 -1.4334e-01 -3.5917e+00 +2.4422e+00 +8.8866e-01 -8.8945e-01 -2.2607e+00 +3.6370e+00 -3.4847e-01 -2.9717e+00 +3.8703e-01 -4.1984e+00 -7.3999e-01 +4.5858e+00
3 +2.189205174e+03 +2.189205174e+03 +2.088395174e+03 +2.088395174e+03 +1.8844e+00 -3.4289e+00 +3.5764e+00 +4.0555e+00 +4.0320e+00 +7.9503e-01 -4.7730e+00 +2.0085e+00 -4.5611e+00 +2.1128e+00 +2.4608e+00 +2.6164e+00 -3.7089e+00 +7.0614e-01 -1.2364e-01 +2.2251e+00 +4.4009e-01 -3.3960e+00 -1.3727e+00 -3.4720e+00
5 +1.193750827e+03 +1.193750827e+03 +1.092940827e+03 +1.092940827e+03 -3.6797e+00 +7.1872e-01 -3.4740e-01 -4.0683e+00 +4.9065e+00 -7.4671e-01 +2.3520e+00 +3.7853e+00 +1.0642e+00 +4.9427e+00 -4.0606e-01 -2.9195e+00 -1.0649e+00 +1.3631e+00 +3.1360e+00 -3.4861e+00 +1.7983e+00 +5.6066e-01 +4.5800e+00 +3.3121e+00
12 +8.961259943e+02 +8.961259943e+02 +7.953159943e+02 +7.953159943e+02 +6.7141e-01 -4.1304e+00 +8.0386e-01 -3.7166e+00 -7.3820e-01 -1.7719e+00 +4.1616e+00 +2.1270e+00 -1.3932e-01 -4.0583e+00 -3.0031e+00 -3.3801e+00 -7.2729e-02 +3.0517e+00 -6.9314e-01 +2.5035e+00 -3.2844e-01 -1.5061e+00 +1.2783e+00 -2.2326e+00
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.939731170e+03 +1.939731170e+03 +2.341461170e+03 +2.341461170e+03 +1.4427e+00 -4.1044e+00 +3.0574e+00 -3.4147e+00 -1.3376e-01 -2.4422e+00 -1.7953e+00 +4.0606e+00 +1.2392e+00 +2.9982e+00 -4.4281e+00 +2.6169e+00 +2.7535e-01 -2.0870e+00 -4.3407e+00 -4.5915e+00 -1.9347e+00 -3.4702e+00 -2.0317e+00 -3.0194e+00
2 +4.611453069e+02 +4.611453069e+02 +8.628753069e+02 +8.628753069e+02 +3.0570e-01 +2.2048e+00 +4.1812e+00 -1.8695e+00 +1.4213e+00 +2.8934e+00 -3.1536e+00 -2.0419e+00 +1.3270e+00 -1.0284e+00 +4.8562e+00 -1.7819e-01 +2.5589e+00 +1.2841e+00 -3.3305e+00 +1.4606e+00 -1.7863e+00 +8.6272e-01 +2.8942e+00 -1.8305e+00
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.372467543e+03 +2.372467543e+03 +2.276717543e+03 +2.276717543e+03 -4.7390e+00 -3.3720e+00 +4.4953e+00 -2.1884e+00 -4.7802e+00 -1.7208e+00 +2.6262e+00 +3.3573e+00 -2.1246e+00 +2.5789e+00 -1.3713e+00 +7.8872e-01 -1.4751e-01 +6.7018e-01 -1.8715e+00 -2.8314e+00 +1.4820e-01 +3.4014e+00 +1.4434e+00 -4.8404e+00
5 +6.671831981e+02 +6.671831981e+02 +5.714331981e+02 +5.714331981e+02 +4.4928e+00 +4.1363e+00 -4.0351e+00 +4.4030e+00 +4.4091e+00 +1.1258e-01 -7.2725e-01 +4.9532e+00 +4.3009e+00 +1.8568e+00 +1.8547e+00 +4.8275e+00 -3.4978e+00 +2.4950e-01 +3.8365e+00 +3.4025e+00 +2.6946e+00 -2.3034e-01 +3.7006e+00 -9.5138e-01
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
