% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.263928935e+03 +1.263928935e+03 +8.018389352e+02 +8.018389352e+02 -3.4389e+00 -2.3085e+00 -4.2395e-01 -1.3092e+00 -2.9474e+00 +4.0481e-01 +3.1556e+00 -1.1164e+00 -3.0801e+00 +3.1644e+00 -3.8165e+00 -3.2429e+00 -4.2504e+00 +3.5553e+00 -2.2169e+00 -7.2602e-01 -2.3504e+00 -1.4267e-01 +1.1650e+00 +2.1042e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.021788569e+04 +1.021788569e+04 +1.029554569e+04 +1.029554569e+04 -4.4366e+00 -1.7943e+00 -3.6167e-01 -2.2058e+00 -3.1976e+00 -8.7225e-01 -1.4519e+00 +1.8432e+00 +3.7618e+00 -4.3321e+00 -4.0979e+00 +4.2383e+00 +4.0206e+00 -4.2187e+00 -3.9481e+00 +4.0723e-01 -1.8443e+00 -4.1058e+00 -3.2416e+00 -1.0613e+00
2 +4.073473687e+03 +4.073473687e+03 +4.151133687e+03 +4.151133687e+03 -2.3881e+00 -2.1530e+00 -3.3198e+00 +3.7515e+00 +4.9611e+00 -9.8475e-01 -2.8052e+00 -2.4585e+00 -4.7825e+00 -1.1593e+00 -7.4397e-01 -3.2068e+00 -4.3628e+00 +2.4162e+00 -2.3355e+00 -1.3596e+00 +2.0553e+00 +6.8233e-01 +8.0119e-01 +3.9328e-01
3 +3.606024829e+03 +3.606024829e+03 +3.683684829e+03 +3.683684829e+03 -2.1466e+00 +4.2184e+00 +3.8912e+00 +2.3579e+00 +2.5893e+00 +2.2746e+00 +2.9460e+00 +8.2719e-01 -4.2064e+00 +2.8442e+00 +4.0988e+00 -1.3492e+00 +4.6552e-01 -4.4210e+00 -3.6224e+00 +2.8268e+00 -3.9571e+00 -3.7081e+00 +2.1612e+00 -4.1396e+00
6 +1.646421591e+03 +1.646421591e+03 +1.724081591e+03 +1.724081591e+03 -6.1655e-01 -9.7820e-01 +1.1340e+00 -4.5115e+00 -3.3048e+00 -4.3916e+00 -9.2688e-02 +4.3588e+00 +3.3714e-02 -1.7276e+00 -2.7618e+00 -3.0386e+00 +1.2742e+00 +1.9976e+00 +1.4637e-01 -8.6576e-01 -1.0749e+00 +1.2789e-01 -4.9812e-01 +3.2019e+00
23 +8.936090424e+02 +8.936090424e+02 +9.712690424e+02 +9.712690424e+02 -2.6097e+00 +8.4648e-01 -7.3493e-01 +2.0683e+00 -4.1290e+00 -1.0959e-01 -3.5718e+00 -1.2886e+00 -3.4513e+00 +8.5739e-01 +2.8530e+00 -1.5274e+00 -3.9922e+00 +1.6639e+00 +2.1646e+00 +4.6666e+00 -5.2295e-01 +3.8977e-01 +3.1365e+00 -8.1943e-01
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.607209083e+04 +1.607209083e+04 +1.618777083e+04 +1.618777083e+04 -3.4613e+00 -1.0271e+00 +4.7854e+00 -2.1141e+00 +4.4372e+00 -3.6578e+00 +3.3414e+00 -2.2591e+00 +3.4427e+00 -3.4208e+00 -3.8201e+00 -3.2870e+00 -4.9739e+00 -9.6787e-01 -2.7261e+00 +2.7280e+00 +4.6293e+00 +2.7980e+00 -1.6098e+00 -1.0821e-01
2 +8.383945847e+02 +8.383945847e+02 +9.540745847e+02 +9.540745847e+02 +1.8142e+00 +2.6558e-01 +1.2542e+00 +4.2316e+00 +5.8872e-01 +2.9412e-01 +4.0842e+00 +3.1849e+00 +1.6218e+00 -1.0114e+00 +2.3370e+00 -2.5803e+00 +3.7953e+00 +3.0095e+00 +2.4278e+00 +2.2281e+00 +3.9361e-01 +3.5079e+00 -1.3073e-01 -1.6355e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.329317546e+03 +9.329317546e+03 +9.325607546e+03 +9.325607546e+03 -1.0179e+00 +2.9988e+00 +1.5885e+00 +3.2863e+00 +4.8647e+00 +2.3993e-01 -4.2532e+00 -5.2186e-01 -4.1392e+00 +3.0649e+00 +1.4247e+00 -9.2504e-01 +4.7637e+00 +4.2659e+00 +3.9203e+00 +3.7859e+00 -8.6264e-01 -2.3571e+00 -4.1685e+00 +4.3352e+00
2 +3.189357064e+03 +3.189357064e+03 +3.185647064e+03 +3.185647064e+03 -3.3153e+00 -7.2776e-01 +1.4614e-01 -3.2055e+00 +6.6534e-01 -2.2473e+00 -2.0573e+00 -3.6898e+00 +1.3949e+00 -2.2163e+00 -4.4834e+00 +3.9038e+00 -1.4259e+00 +3.1017e+00 -2.4908e+00 -3.1832e-02 +3.1230e+00 -4.9848e+00 -3.0736e+00 -4.9081e+00
3 +2.211897183e+03 +2.211897183e+03 +2.208187183e+03 +2.208187183e+03 -1.6934e+00 +1.6115e-01 +3.0215e+00 +1.4457e+00 +4.0856e+00 +3.3964e+00 +1.3393e+00 +3.9373e+00 -3.5421e+00 -3.8243e+00 +2.3416e+00 -1.5894e+00 -3.7321e+00 -2.8640e+00 +4.5053e-01 -4.2052e+00 -2.2747e+00 +3.2793e-01 -4.3785e+00 +9.1752e-01
10 +1.222220336e+03 +1.222220336e+03 +1.218510336e+03 +1.218510336e+03 -6.0376e-01 -3.9950e+00 +2.9743e+00 +1.7983e+00 +1.4851e+00 -4.9000e+00 +1.2657e+00 -4.1753e+00 +1.1676e+00 +3.6555e+00 +2.1769e+00 -2.6844e+00 +3.5156e+00 +6.3812e-02 -1.5150e+00 +1.0270e+00 +6.1557e-01 +3.6707e-01 +7.4145e-01 -3.0064e+00
185 +9.457854795e+02 +9.457854795e+02 +9.420754795e+02 +9.420754795e+02 +2.1322e+00 +1.5286e-02 +1.7955e+00 -3.4718e-01 +3.4375e-01 +4.1863e+00 -4.8482e+00 -2.5877e+00 +1.1985e-01 +2.0352e+00 -4.8484e+00 -1.9741e-01 +2.5541e+00 -4.8799e+00 +4.6667e-02 -1.3152e+00 -3.9841e-01 -4.5103e+00 +2.3975e+00 -3.6967e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.029612051e+03 +5.029612051e+03 +5.161792051e+03 +5.161792051e+03 -1.9247e-01 -1.4672e+00 +2.8576e+00 +1.6573e+00 +3.8264e+00 -3.8222e+00 -1.6185e+00 +2.9562e+00 +4.5753e+00 -2.3837e+00 +1.7904e+00 +7.5175e-01 -3.4223e+00 +3.3261e+00 -5.0855e-02 -3.4614e+00 -2.1691e+00 -7.8709e-02 -1.0422e+00 +2.9783e+00
2 +2.124178945e+03 +2.124178945e+03 +2.256358945e+03 +2.256358945e+03 +3.1394e+00 -4.7407e+00 +2.8880e+00 -2.8048e-01 +1.4644e+00 +2.7652e+00 -7.8653e-01 -1.2506e+00 -4.0347e+00 +2.2280e+00 -6.8013e-01 -3.0041e+00 -3.7932e+00 +3.8957e+00 +3.2926e+00 +2.7783e+00 -3.3559e+00 -4.8978e-02 +2.5014e+00 +8.9180e-01
16 +1.191147201e+03 +1.191147201e+03 +1.323327201e+03 +1.323327201e+03 -3.8507e+00 -3.1832e+00 -3.4067e+00 -9.6004e-01 -2.3405e+00 -1.9465e+00 +2.9301e-01 -4.7102e+00 +1.2854e+00 +3.7298e+00 -3.6975e+00 -3.5343e+00 -3.9192e+00 +4.7555e+00 -2.3494e+00 +1.5787e+00 -2.5695e+00 +3.9494e+00 -7.0014e-01 -2.1252e+00
65 +9.836746803e+02 +9.836746803e+02 +1.115854680e+03 +1.115854680e+03 +9.8462e-01 +3.0419e+00 +3.7408e+00 +3.4665e+00 +4.6477e-02 -4.4217e+00 -2.7631e+00 +1.2363e+00 -9.1641e-01 +1.8076e+00 -5.8398e-01 +1.2316e+00 +1.0931e+00 +8.1093e-01 -3.5749e+00 +1.9343e+00 -3.1012e+00 -2.0100e-01 -6.6486e-01 +2.2451e+00
98 +5.493467658e+02 +5.493467658e+02 +6.815267658e+02 +6.815267658e+02 +3.8234e+00 +3.4489e+00 -1.1891e+00 -3.2164e+00 -2.6572e+00 -3.5816e+00 -1.3010e+00 -3.1471e-01 +4.3906e-01 -4.9397e+00 -8.8131e-01 +1.7418e+00 +1.1089e-01 +2.8202e+00 +2.9243e+00 +7.6526e-01 +1.4994e+00 +9.4414e-01 +1.5742e+00 +2.6935e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.545029323e+03 +1.545029323e+03 +1.503289323e+03 +1.503289323e+03 -3.1590e+00 -2.4349e+00 +5.0643e-01 -2.6857e-01 +1.5281e+00 +2.3017e+00 -3.5454e+00 +3.1187e+00 +2.2296e+00 +3.8375e+00 +1.7106e+00 -4.7939e+00 -2.2876e+00 -2.1180e+00 +3.3003e+00 -8.8676e-01 -1.6866e+00 +3.0579e+00 -3.7263e+00 -3.5176e+00
33 +6.794964542e+02 +6.794964542e+02 +6.377564542e+02 +6.377564542e+02 +2.0248e-01 +2.8371e-01 -2.8686e+00 +2.4200e+00 -2.2038e+00 -1.8480e+00 +3.3044e+00 +2.4563e+00 +2.1241e-01 +4.8805e+00 +2.4628e+00 -4.0573e+00 +7.0224e-01 -8.2161e-01 +2.7615e+00 -3.2805e+00 -1.2231e+00 +2.8771e+00 +9.4002e-01 +3.7823e+00
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.143528646e+03 +3.143528646e+03 +2.648668646e+03 +2.648668646e+03 -2.0888e+00 +2.7648e-01 -7.3963e-01 -4.2058e+00 +1.8326e+00 -2.4502e+00 +4.9290e+00 +3.5085e-01 -2.3493e+00 +3.6672e+00 +3.3883e+00 +4.7135e+00 +3.6051e+00 -2.2023e+00 -4.5133e+00 -1.5268e+00 -1.9380e+00 +1.0454e+00 -3.1707e-01 -2.3145e+00
3 +1.779449242e+03 +1.779449242e+03 +1.284589242e+03 +1.284589242e+03 +4.2605e+00 -3.9000e+00 -1.4464e+00 -3.1535e+00 +1.8305e+00 -2.0831e+00 +9.3662e-01 -4.1127e+00 -3.0451e+00 +3.8389e+00 +3.7818e+00 +4.3142e+00 +1.4705e+00 +1.0449e+00 -2.2749e+00 -4.6864e+00 -2.9012e+00 -1.7906e+00 +2.5612e-01 -9.8249e-01
26 +1.196022139e+03 +1.196022139e+03 +7.011621390e+02 +7.011621390e+02 -3.1024e+00 +1.9741e+00 -4.3191e+00 -4.5251e+00 -2.4953e+00 -1.1340e+00 +8.6577e-01 -3.8278e+00 +1.5662e+00 +2.3691e+00 +1.7128e+00 -6.7927e-01 -8.8189e-01 -5.6070e-01 -1.8440e+00 -3.5542e+00 +1.1557e+00 -9.0074e-01 -4.9368e+00 -7.5899e-01
