% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.031948682e+02 +1.031948682e+02 +8.625486815e+01 +8.625486815e+01 -1.7031e+00 +3.5905e+00 +3.0883e+00 +1.7008e+00 +4.3112e+00 -2.1982e+00 -4.0750e-01 +1.6368e+00 -3.6003e+00 +4.7096e-01 +2.3782e+00 +2.4195e+00 +9.5178e-01 -4.6473e+00 +4.3336e+00 -3.9199e+00 +3.6986e+00 -9.9449e-01 -2.7484e+00 +4.7558e+00
9 +6.442965642e+01 +6.442965642e+01 +4.748965642e+01 +4.748965642e+01 +1.6236e+00 -3.5960e+00 -3.4300e+00 -4.8860e+00 -1.2669e+00 +8.6931e-01 +4.7207e+00 +2.5881e+00 -2.1662e+00 +2.1320e+00 +4.4034e+00 -3.0429e-01 +4.3890e+00 +3.6131e+00 +3.1954e+00 +4.7406e+00 +2.0312e+00 -2.1712e-01 -3.3901e-01 -3.5949e+00
55 +6.188287236e+01 +6.188287236e+01 +4.494287236e+01 +4.494287236e+01 -5.5191e-01 -1.7532e+00 -3.1443e+00 +7.3324e-01 -6.3765e-01 -9.1468e-01 +2.0168e+00 -1.9008e+00 +1.4866e-01 +6.7082e-01 +2.6246e+00 +1.0625e+00 -6.2604e-02 +2.8333e+00 +3.5976e+00 +3.8105e+00 +4.2162e+00 -4.8781e+00 -2.6665e+00 +4.3621e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.484207968e+02 +1.484207968e+02 +1.672307968e+02 +1.672307968e+02 +4.3472e+00 +3.5345e+00 -1.5656e+00 +3.6268e+00 -2.5564e+00 -1.1319e+00 +3.4600e+00 +7.1745e-01 -1.1479e+00 -4.7522e+00 -4.2605e+00 -1.3638e+00 -3.9866e-01 -2.8142e+00 +4.9851e+00 -4.8571e+00 -1.9565e+00 -1.2768e+00 -7.5067e-01 -9.9975e-01
2 +8.003186186e+01 +8.003186186e+01 +9.884186186e+01 +9.884186186e+01 +1.6618e+00 +3.1408e+00 -4.4675e+00 -3.1713e+00 -3.1622e+00 -1.5499e+00 +4.9007e+00 +2.1249e+00 +3.6376e-01 -3.0771e+00 -3.1775e+00 -3.7247e+00 +4.4986e+00 +1.5461e+00 +1.9041e+00 -2.5503e+00 -3.7421e+00 +6.9128e-01 +2.6314e+00 +3.7809e+00
13 +5.414803016e+01 +5.414803016e+01 +7.295803016e+01 +7.295803016e+01 +1.4260e+00 +4.7633e-01 -1.6668e+00 -3.0503e+00 -1.2317e+00 -1.0600e+00 -2.6870e+00 +4.0680e+00 +3.5402e+00 +3.9942e+00 -7.2290e-01 +4.0382e+00 -2.5355e+00 -4.1595e+00 -2.8018e+00 -2.1014e+00 -3.8043e+00 -3.2187e+00 +4.2221e+00 +3.2577e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.526177773e+02 +2.526177773e+02 +5.257677773e+02 +5.257677773e+02 +2.7158e+00 +1.4496e+00 -7.8196e-01 -4.5805e+00 -1.5117e+00 -4.0914e+00 -5.7888e-01 -1.3910e+00 +3.4258e-01 +2.8530e+00 -3.0155e+00 -1.5094e+00 -1.8426e+00 -2.7389e+00 +1.5283e+00 -3.3655e+00 -4.1134e+00 -1.0718e-01 +3.1682e+00 -3.7704e+00
16 +8.760747673e+01 +8.760747673e+01 +3.607574767e+02 +3.607574767e+02 -2.0531e-01 +4.1719e+00 -4.9654e+00 +4.5194e+00 +1.5185e+00 +1.8037e+00 -4.1026e+00 +2.0304e+00 -3.3843e+00 +3.3057e+00 +1.5933e+00 -2.0149e+00 +1.8456e+00 -1.7004e-02 +4.9899e+00 -4.7620e+00 +4.2606e+00 -2.8709e+00 +2.6530e+00 +1.7069e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
