% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.708196371e+06 +1.708196371e+06 +1.708272641e+06 +1.708272641e+06 -1.8723e+00 -9.9393e-01 -2.8197e+00 +7.6036e-01 -1.5601e+00 -2.3926e-01 -3.6321e+00 -2.3529e+00 +1.3581e-01 -2.2309e+00 -2.1737e+00 -1.8814e-01 -2.1114e+00 -2.3706e+00 -3.9269e+00 -2.2949e+00 +3.8223e+00 -3.2662e-01 +3.7804e+00 +3.3395e+00
3 +5.697328737e+05 +5.697328737e+05 +5.698091437e+05 +5.698091437e+05 -1.1346e+00 +2.9819e+00 +2.5867e+00 +1.3069e+00 +3.6758e-02 -2.3543e+00 +3.3569e+00 -2.9542e+00 -3.5615e+00 -2.9646e+00 +2.3982e+00 +3.7296e+00 +2.7692e+00 +2.7432e+00 +2.0032e+00 +3.4604e+00 -1.6615e+00 +2.9629e+00 +1.7839e+00 -1.5698e-01
7 +1.402160512e+05 +1.402160512e+05 +1.402923212e+05 +1.402923212e+05 -1.2508e+00 +2.5161e-01 +8.0359e-01 +3.6828e+00 +3.9294e+00 +1.8021e+00 -1.3862e-02 +3.0613e+00 -1.4713e+00 +8.3067e-03 +2.6448e-01 +5.1662e-02 +2.3169e+00 +2.6195e+00 -2.3526e+00 +1.1827e+00 -3.9245e+00 +2.7938e+00 +3.9713e+00 +3.7367e+00
20 +1.617746962e+04 +1.617746962e+04 +1.625373962e+04 +1.625373962e+04 +2.8953e+00 +3.7676e+00 +3.1700e+00 -2.9961e+00 +1.3174e+00 -9.6063e-01 -8.6486e-01 -3.4227e+00 +3.1249e+00 +3.6720e+00 -1.8521e+00 +3.6611e+00 -2.2519e+00 +3.4702e+00 -2.9824e+00 +1.3023e+00 -3.4422e+00 -3.0048e+00 +4.3959e-01 +1.4198e+00
24 +1.193789445e+04 +1.193789445e+04 +1.201416445e+04 +1.201416445e+04 -1.1468e+00 +1.6397e+00 +1.9478e+00 +2.5166e+00 +1.3813e+00 -2.2329e+00 +2.7787e+00 +2.4488e+00 -2.2570e+00 -9.0344e-01 +3.4667e-01 +3.3410e+00 +2.5156e+00 +2.5978e+00 +1.5105e+00 +3.1416e+00 -1.8326e+00 +2.7748e+00 +3.2588e+00 +2.5239e+00
57 +1.459236586e+03 +1.459236586e+03 +1.535506586e+03 +1.535506586e+03 -1.1215e+00 -2.2215e+00 -1.9432e-01 +1.9870e+00 +2.1614e+00 +1.3888e+00 +1.3545e+00 -3.2247e+00 +1.6693e+00 -8.9263e-01 +9.3411e-01 -1.6605e+00 +1.1786e+00 +8.5207e-01 -7.0269e-01 -3.3743e+00 -2.5298e+00 -2.2122e+00 -3.2202e+00 +2.0002e+00
72 +2.405616186e+02 +2.405616186e+02 +3.168316186e+02 +3.168316186e+02 -1.2066e+00 -2.2968e+00 -1.6867e-01 +1.9097e+00 +2.0736e+00 +1.4491e+00 +1.3578e+00 -3.3133e+00 +1.6038e+00 -9.3264e-01 +8.4095e-01 -1.5933e+00 +1.1328e+00 +9.0923e-01 -7.4874e-01 -3.3270e+00 -2.5703e+00 -2.2831e+00 -3.3152e+00 +2.0103e+00
336 +1.569977915e+02 +1.569977915e+02 +2.332677915e+02 +2.332677915e+02 -1.1492e+00 -2.2089e+00 -2.8213e-01 +1.8515e+00 +2.2429e+00 +1.5724e+00 +1.5583e+00 -3.2398e+00 +1.6762e+00 -7.4911e-01 +1.1389e+00 -1.7259e+00 +1.0809e+00 +7.7663e-01 -6.5707e-01 -3.3862e+00 -2.5282e+00 -2.2398e+00 -3.0702e+00 +1.8269e+00
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.644777547e+06 +2.644777547e+06 +2.644754997e+06 +2.644754997e+06 -1.0917e+00 -1.5008e+00 +1.6290e+00 +3.3521e-01 -2.0555e+00 -3.8798e+00 -1.8957e+00 -1.8735e+00 +2.5148e+00 +2.9647e+00 +2.0542e+00 +3.6429e+00 +4.3410e-01 -1.5872e+00 +3.4206e+00 +3.6837e+00 +1.5601e+00 -2.1654e+00 +3.0962e+00 -2.2890e+00
