% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.708658788e+05 +2.708658788e+05 +2.703193788e+05 +2.703193788e+05 +3.8934e+00 -3.4534e+00 -1.9302e+00 +2.3629e+00 +3.8260e+00 +3.3110e+00 +3.6826e+00 -1.6200e+00 -2.5805e-01 +3.0330e+00 +2.3653e+00 -3.2368e-01 -3.1545e+00 +3.3377e+00 -2.5754e-02 +3.7578e+00 -2.6829e+00 +2.9336e+00 -2.2132e+00 +2.8734e+00
2 +1.059867608e+05 +1.059867608e+05 +1.054402608e+05 +1.054402608e+05 +3.7977e+00 +2.3382e+00 -1.0337e-01 -2.2050e+00 +1.2429e+00 +2.9563e+00 +3.6582e+00 +3.0825e+00 +3.4992e+00 -8.8726e-01 -3.2564e+00 -2.9806e+00 +1.0659e+00 +3.4601e+00 +1.5754e+00 -3.3033e+00 +1.6918e-01 +7.4864e-01 -1.3848e+00 +1.1784e+00
8 +5.158643194e+04 +5.158643194e+04 +5.103993194e+04 +5.103993194e+04 +2.6918e+00 +1.2419e-01 +3.6838e-01 -2.1804e+00 +1.9298e+00 +8.7736e-01 +2.4449e-01 +1.2352e+00 +2.5585e-01 -2.8563e+00 +1.2603e+00 -2.1209e+00 -1.7228e+00 -3.2445e+00 -1.6119e+00 -2.2158e+00 +6.6881e-01 -2.7323e+00 +1.8750e+00 +2.6180e+00
33 +3.790248812e+04 +3.790248812e+04 +3.735598812e+04 +3.735598812e+04 +4.5838e-01 +6.1340e-01 +1.9211e+00 -3.2725e+00 +2.2933e+00 +1.6417e+00 +1.0547e+00 +2.6512e+00 +2.1095e+00 -2.9958e+00 +1.5967e+00 +9.0379e-01 +1.3618e+00 -1.1245e+00 +2.4266e+00 -2.3334e+00 +1.0997e+00 -1.6971e+00 +1.7543e+00 +2.2673e+00
71 +1.023532605e+04 +1.023532605e+04 +9.688826052e+03 +9.688826052e+03 -2.6269e+00 -1.3232e+00 +7.0003e-01 +2.1291e+00 +1.8532e+00 -2.6866e+00 +2.2019e+00 -1.4877e+00 -3.1423e+00 -7.4806e-01 +2.0048e+00 -7.4734e-01 -1.0697e+00 -3.0911e+00 +1.5620e+00 +3.3964e-01 +1.7049e+00 -2.5386e+00 -1.5458e+00 +2.2842e+00
204 +6.785606094e+03 +6.785606094e+03 +6.239106094e+03 +6.239106094e+03 +4.3504e-01 +2.5371e+00 +1.5327e+00 +9.4185e-01 +1.4437e+00 -2.7345e+00 +1.1720e+00 -1.4412e+00 -7.4802e-01 +2.0660e+00 +1.5707e+00 -4.1678e-01 +1.4067e+00 -1.0168e+00 +1.0004e+00 -1.0024e+00 +3.5214e+00 -2.7276e+00 -7.4660e-01 +2.1421e+00
222 +9.685206202e+02 +9.685206202e+02 +4.220206202e+02 +4.220206202e+02 -1.4333e+00 +4.4193e-01 +1.3785e+00 +1.6738e+00 +1.3543e+00 -2.5693e+00 +1.4242e+00 -5.3134e-01 -9.1983e-01 +1.7626e+00 +2.5744e+00 +6.7863e-02 +1.0484e+00 -1.8060e+00 +1.6575e+00 -5.6723e-01 +3.1198e+00 -1.5211e+00 -9.3350e-01 +2.3443e+00
464 +5.296484908e+02 +5.296484908e+02 -1.685150924e+01 -1.685150924e+01 -1.3504e+00 +5.6116e-01 +1.3808e+00 +1.5820e+00 +1.1949e+00 -2.6338e+00 +1.4397e+00 -3.6102e-01 -8.8692e-01 +1.9098e+00 +2.5271e+00 +5.0725e-02 +1.1344e+00 -1.7056e+00 +1.6553e+00 -4.8641e-01 +3.0127e+00 -1.3841e+00 -8.7984e-01 +2.4236e+00
600 +3.973197901e+02 +3.973197901e+02 -1.491802099e+02 -1.491802099e+02 -1.5719e+00 +5.1506e-01 +1.4276e+00 +1.7840e+00 +1.5360e+00 -2.6240e+00 +1.3204e+00 -4.7508e-01 -1.0451e+00 +1.5892e+00 +2.5597e+00 +1.3186e-01 +1.1352e+00 -1.8745e+00 +1.5915e+00 -5.1592e-01 +2.8987e+00 -1.5817e+00 -9.6483e-01 +2.4797e+00
721 +2.228215508e+02 +2.228215508e+02 -3.236784492e+02 -3.236784492e+02 -1.3492e+00 +4.3563e-01 +1.4745e+00 +1.5545e+00 +1.3656e+00 -2.7105e+00 +1.2561e+00 -3.3918e-01 -9.1889e-01 +1.6765e+00 +2.4420e+00 +6.2252e-02 +1.1005e+00 -1.8285e+00 +1.5724e+00 -5.1419e-01 +2.8744e+00 -1.4327e+00 -8.3852e-01 +2.3513e+00
