% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.760237825e+02 +2.760237825e+02 +2.590837825e+02 +2.590837825e+02 -3.9695e+00 -1.6313e+00 -3.1031e+00 +3.1851e+00 +3.3700e+00 +1.1025e+00 -3.0100e+00 +2.1144e+00 -2.8049e+00 +3.5753e+00 -1.9789e+00 +4.6708e+00 +1.0827e+00 +3.2589e+00 -2.6271e+00 +1.5628e+00 -2.0031e+00 -4.4490e+00 +8.8124e-02 +2.8899e+00
3 +8.211517076e+01 +8.211517076e+01 +6.517517076e+01 +6.517517076e+01 -1.0215e+00 -4.2323e-01 -1.8438e+00 -3.8312e-01 -1.9137e+00 +3.9862e+00 -3.8023e+00 +3.7648e+00 +1.4860e+00 -6.2597e-01 +3.0876e+00 +4.3821e+00 +2.4298e+00 +2.6588e+00 +2.0156e+00 +2.1344e+00 +2.6264e+00 -1.2130e+00 +3.6610e+00 -2.7003e+00
5 +3.093105030e+01 +3.093105030e+01 +1.399105030e+01 +1.399105030e+01 -4.5378e+00 -1.1984e+00 +1.4949e+00 -3.7693e+00 -1.6293e+00 +3.5881e+00 +2.0003e+00 +2.6072e+00 +6.1047e-01 +1.9731e-01 +3.0299e+00 +3.0495e+00 -2.9394e+00 -1.9109e+00 +4.2530e-02 +2.3277e+00 +3.3414e-01 +3.6752e+00 -1.6158e-01 -5.1094e-01
27 +2.249339450e+01 +2.249339450e+01 +5.553394497e+00 +5.553394497e+00 +3.7604e+00 -3.5855e+00 -3.7119e+00 -4.5922e+00 +4.8577e+00 +2.2004e+00 +3.7532e+00 -4.1683e+00 +3.1526e+00 -3.9428e+00 +7.8822e-01 -4.7112e+00 -1.9936e+00 +4.3643e+00 -3.6467e+00 +2.5841e+00 -2.1934e+00 -4.0191e+00 -2.6915e+00 +3.5148e-01
77 +1.504862224e+01 +1.504862224e+01 -1.891377760e+00 -1.891377760e+00 -2.5390e+00 +4.3885e+00 -1.8554e+00 +8.5553e-02 +4.7706e+00 +1.6718e+00 +3.8359e+00 +2.8433e+00 -2.1118e-01 -3.8469e+00 -8.9020e-01 -2.4271e+00 +3.5422e-01 -3.6764e+00 +3.2207e+00 -4.0648e+00 +4.2933e+00 -1.9320e-01 -4.0857e+00 -3.6186e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.506083215e+01 +4.506083215e+01 +6.387083215e+01 +6.387083215e+01 +2.2884e+00 +2.9965e+00 +3.3788e+00 -3.1920e+00 +6.9376e-01 -1.0106e-01 -6.5742e-01 -4.1669e+00 -2.0500e+00 +5.6168e-01 +3.7729e-01 +1.2963e+00 +1.0861e+00 +1.7966e+00 -2.8530e+00 +1.7972e+00 +1.7031e+00 -2.7560e+00 -4.2452e+00 -2.8206e+00
4 +2.284687036e+01 +2.284687036e+01 +4.165687036e+01 +4.165687036e+01 -3.8894e+00 -2.2712e+00 +2.8881e+00 +1.8178e+00 +3.7179e+00 +2.8963e+00 -1.0476e+00 +4.6040e+00 -4.6580e+00 -1.3267e+00 +9.1673e-01 -2.0253e+00 +9.8509e-01 +5.2396e-01 -1.7438e+00 +4.6104e+00 +7.7866e-02 -2.1281e+00 +7.3707e-01 +3.3335e+00
41 +1.570331122e+01 +1.570331122e+01 +3.451331122e+01 +3.451331122e+01 +7.9485e-01 -1.4836e+00 +2.8486e+00 +3.2384e+00 -1.9478e+00 +3.7080e+00 -2.2168e+00 -2.8819e+00 +4.5653e+00 -7.3544e-03 -4.1338e+00 +4.0314e+00 +9.9484e-01 -2.6842e+00 +6.2446e-01 -1.8585e+00 -4.5110e-02 +1.3054e+00 +1.0952e+00 -1.9690e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
