% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.757384454e+02 +1.757384454e+02 +2.552184454e+02 +2.552184454e+02 +2.2133e+00 +2.7144e+00 -2.5869e+00 -3.9365e+00 -3.2127e+00 -2.6997e-01 +1.1290e+00 -3.4684e+00 -8.6342e-01 -3.4257e+00 +3.5602e+00 +7.7297e-01 -9.1141e-02 +7.3423e-01 +2.9030e+00 +1.9794e-01 -1.1192e+00 -9.9224e-01 +3.5896e+00 -3.6938e+00
2 +1.457019257e+02 +1.457019257e+02 +2.251819257e+02 +2.251819257e+02 -2.3270e+00 +5.9366e-01 +3.4200e+00 +1.9584e+00 -1.7077e+00 -2.4972e+00 -4.1043e-01 -2.5481e-01 +2.3514e+00 +2.8622e-01 -2.1765e+00 -1.4696e+00 +1.2186e+00 -3.3681e+00 +1.1250e+00 +1.1245e+00 -1.2588e+00 -7.8517e-01 -1.9054e+00 -2.7996e+00
56 +9.683665776e+01 +9.683665776e+01 +1.763166578e+02 +1.763166578e+02 +8.9626e-01 -3.2404e+00 -3.1329e-02 +1.6542e+00 -3.6432e+00 +1.7468e+00 +2.6046e+00 -1.0334e+00 -2.2922e+00 -9.8281e-01 -6.1789e-01 +7.5648e-01 -1.5414e+00 -3.2064e+00 -1.5164e+00 +2.1137e+00 +7.2578e-01 -3.3093e+00 -6.0987e-01 -1.7265e+00
71 +5.212095677e+01 +5.212095677e+01 +1.316009568e+02 +1.316009568e+02 -2.9751e-01 -6.1278e-01 +7.0549e-01 +1.2381e+00 -3.5691e+00 -7.1975e-01 +1.0839e+00 -2.3548e+00 +2.8426e-01 -2.0085e-01 -1.5897e+00 +8.3254e-01 +7.9223e-01 -1.7701e+00 +1.5985e-01 +1.8537e+00 -6.0293e-01 -3.2106e+00 +5.2078e-01 +2.1529e+00
993 +3.945619524e+01 +3.945619524e+01 +1.189361952e+02 +1.189361952e+02 +3.7712e-02 -1.1806e+00 +2.8566e-01 +1.2464e+00 -3.6331e+00 +6.6971e-03 +1.1621e+00 -1.9236e+00 -5.2748e-01 -3.8021e-01 -1.7652e+00 +8.9387e-01 +7.9431e-01 -1.9088e+00 +7.0285e-01 +2.0543e+00 -5.7382e-01 -3.2143e+00 +5.8546e-01 +1.9586e+00
3091 +2.494583304e+01 +2.494583304e+01 +1.044258330e+02 +1.044258330e+02 +4.1613e-01 -1.0197e+00 -2.9460e-02 +1.3515e+00 -3.3066e+00 +1.0308e-01 +9.3905e-01 -1.5022e+00 -9.3384e-01 -9.0422e-01 -2.2938e+00 +1.1293e+00 +8.7243e-01 -1.6044e+00 +1.3865e+00 +1.7209e+00 -5.8108e-01 -3.3585e+00 +1.0009e+00 +1.8626e+00
4731 +1.578400431e+01 +1.578400431e+01 +9.526400431e+01 +9.526400431e+01 +1.8829e-01 -1.2828e+00 -2.8116e-01 +1.2647e+00 -2.9960e+00 +3.1218e-01 +5.2569e-01 -9.1297e-01 -1.2825e+00 -1.4343e+00 -2.2442e+00 +1.6203e+00 +9.1774e-01 -1.2726e+00 +1.8389e+00 +2.1363e+00 -8.0727e-01 -3.1904e+00 +1.1519e+00 +1.8782e+00
5771 +9.847889613e+00 +9.847889613e+00 +8.932788961e+01 +8.932788961e+01 +2.6962e-01 -1.4360e+00 -2.6404e-01 +1.2810e+00 -3.2872e+00 +2.9728e-01 +4.5919e-01 -7.9108e-01 -1.2710e+00 -1.8610e+00 -2.5482e+00 +1.6794e+00 +9.4692e-01 -1.1420e+00 +2.2650e+00 +2.3821e+00 -4.6724e-01 -3.8800e+00 +1.5165e+00 +1.6167e+00
6903 +6.302380480e+00 +6.302380480e+00 +8.578238048e+01 +8.578238048e+01 +4.9840e-01 -1.2754e+00 -6.0318e-01 +1.3249e+00 -3.0345e+00 +5.7215e-01 +1.0836e-01 -5.0942e-01 -1.4428e+00 -1.9517e+00 -2.8809e+00 +1.7819e+00 +9.2145e-01 -8.1725e-01 +2.3882e+00 +2.1844e+00 -3.2544e-01 -3.7484e+00 +1.8630e+00 +1.5025e+00
7908 +3.950664403e+00 +3.950664403e+00 +8.343066440e+01 +8.343066440e+01 +4.7313e-01 -1.2626e+00 -4.9359e-01 +1.5115e+00 -3.0941e+00 +4.4442e-01 +2.1155e-01 -3.2109e-01 -1.4370e+00 -2.1281e+00 -3.2347e+00 +1.9875e+00 +7.9241e-01 -6.4603e-01 +2.6694e+00 +2.4467e+00 -1.5642e-01 -3.6588e+00 +1.8474e+00 +1.4504e+00
8533 +2.451463550e+00 +2.451463550e+00 +8.193146355e+01 +8.193146355e+01 +3.7701e-01 -1.0321e+00 -4.7280e-01 +1.5751e+00 -3.0590e+00 +3.9577e-01 +1.8065e-01 -2.1546e-01 -1.5679e+00 -2.3081e+00 -3.2959e+00 +2.0371e+00 +1.1217e+00 -4.6638e-01 +2.9212e+00 +2.6350e+00 -1.0043e-01 -3.7895e+00 +1.8775e+00 +1.4890e+00
9391 +1.420723019e+00 +1.420723019e+00 +8.090072302e+01 +8.090072302e+01 +4.0660e-01 -1.1114e+00 -5.4419e-01 +1.5240e+00 -2.8637e+00 +6.0323e-01 -1.3224e-01 -1.7328e-01 -1.6573e+00 -2.6685e+00 -3.3550e+00 +1.9047e+00 +1.0801e+00 -4.8411e-01 +3.1351e+00 +2.6244e+00 -1.2550e-01 -3.7847e+00 +2.0120e+00 +1.3991e+00
9912 +7.842781729e-01 +7.842781729e-01 +8.026427817e+01 +8.026427817e+01 +3.9719e-01 -1.1544e+00 -6.3153e-01 +1.6974e+00 -2.8358e+00 +6.6269e-01 +5.3304e-02 +9.5965e-03 -1.7554e+00 -2.6993e+00 -3.5546e+00 +1.7937e+00 +9.8353e-01 -3.5057e-01 +3.3233e+00 +2.6563e+00 -1.0756e-01 -3.8647e+00 +2.1306e+00 +1.4200e+00
