% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.599953332e+03 +2.599953332e+03 +2.629923332e+03 +2.629923332e+03 -3.1455e+00 -2.0513e+00 -3.7965e+00 +5.7025e-01 -1.1130e+00 +3.9339e+00 +5.7422e-01 +3.1693e+00 +1.5816e+00 +4.3303e+00 +1.2052e+00 -4.7443e+00 -4.1007e+00 +1.2115e+00 -2.4740e+00 +1.2692e+00 -3.8969e+00 -3.0367e+00 -2.2531e+00 -1.8517e+00
23 +2.500341754e+03 +2.500341754e+03 +2.530311754e+03 +2.530311754e+03 +1.2385e+00 -3.1101e+00 -3.5387e+00 +1.2835e+00 -2.5404e+00 -3.1426e+00 -3.2721e-01 +1.9650e+00 +2.6647e+00 -2.7785e+00 +3.7300e+00 -1.4517e+00 +1.4555e+00 +1.4801e+00 +1.1773e+00 -3.4037e+00 -1.1678e+00 -2.0748e-01 +9.3281e-01 -1.5202e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.524192266e+03 +3.524192266e+03 +3.472482266e+03 +3.472482266e+03 +4.1133e+00 -2.9273e+00 +1.1094e+00 +5.5621e-01 -4.0606e+00 +3.4500e+00 -2.5040e+00 -3.2696e+00 +3.4597e+00 +4.6627e+00 -1.0789e+00 +2.3876e+00 +2.9483e-01 -8.9699e-02 -3.2222e+00 -2.6465e+00 -1.9766e+00 +4.2177e+00 +4.5380e+00 -3.2683e+00
35 +2.467300661e+03 +2.467300661e+03 +2.415590661e+03 +2.415590661e+03 -4.2489e-01 +2.3888e+00 +5.6622e-01 -4.0114e+00 -3.8765e+00 -1.7692e+00 -2.9892e+00 -4.3905e-01 -2.7675e+00 -5.9641e-01 +4.5536e+00 -2.1762e+00 -4.6545e+00 +8.4965e-01 -1.0450e+00 -2.1061e+00 -1.9352e+00 +3.6386e+00 +3.7019e+00 +1.7689e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.758473430e+03 +3.758473430e+03 +3.478523430e+03 +3.478523430e+03 +4.0927e+00 +1.9827e+00 +2.2295e+00 +1.3982e+00 -1.0717e+00 -1.7376e+00 -2.5185e+00 +1.8779e+00 -4.1795e+00 -3.1057e+00 +4.2809e+00 +4.6141e+00 +3.0735e+00 -3.9613e+00 +1.1727e+00 -3.2184e+00 +4.5877e+00 -9.6294e-01 +3.3695e+00 -4.9679e+00
11 +2.272053317e+03 +2.272053317e+03 +1.992103317e+03 +1.992103317e+03 +1.2509e+00 +1.9173e+00 +4.4380e-01 -3.0413e+00 -3.1952e-01 -2.4218e+00 -9.3500e-01 +2.1853e+00 +3.7191e+00 -4.7771e+00 +6.2284e-01 +3.2707e+00 -2.5860e+00 +2.8775e-01 +1.0342e+00 +3.6650e+00 +3.3903e+00 -1.6325e+00 -1.2106e+00 +1.2610e+00
17 +1.562097534e+03 +1.562097534e+03 +1.282147534e+03 +1.282147534e+03 -4.8182e+00 -1.8758e+00 +2.7630e+00 +1.5832e-01 -4.1197e-01 -4.2649e+00 +1.9391e+00 -4.6793e+00 -4.2309e+00 -4.8866e+00 -3.3725e+00 +2.1862e+00 -2.6563e+00 -4.6182e+00 -6.4884e-01 +3.1521e+00 +4.0565e+00 +2.6920e+00 +1.0177e+00 +2.9942e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
